,type,properties.EU_FLAG,properties.EFTA_FLAG,properties.CC_FLAG,properties.LEVL_CODE,properties.NUTS_BN_ID,properties.COAS_FLAG,properties.OTHR_FLAG,properties.LEFT_NUTS3,properties.RIGHT_NUTS3,geometry.type,geometry.coordinates,geometry
0,Feature,F,F,T,1,256,F,F,TR611,TR522,MultiLineString,"[[[32.573226832000046, 36.35762420000003], [32.51971845600008, 36.38104773400005], [32.51127839000003, 36.38763086300003], [32.506439159000024, 36.396372358000065], [32.50698800600003, 36.41712884400005], [32.507369710000035, 36.419425241000056], [32.511569087000055, 36.44468942800006], [32.52024026000004, 36.49685672600003], [32.51972714600004, 36.54526306100007], [32.51780774800005, 36.550924219000024], [32.50941433300005, 36.57568013900004], [32.494395258000054, 36.59764777300006], [32.49296067500006, 36.599746064000044], [32.48715450000003, 36.60823846200003], [32.47615839200006, 36.63207138900003], [32.47555198200007, 36.634423636000065], [32.474923690000026, 36.63686076700003], [32.466448039000056, 36.669737602000055], [32.45723133100006, 36.73847110500003]]]","MULTILINESTRING ((32.573226832000046 36.35762420000003, 32.51971845600008 36.38104773400005, 32.51127839000003 36.38763086300003, 32.506439159000024 36.396372358000065, 32.50698800600003 36.41712884400005, 32.507369710000035 36.419425241000056, 32.511569087000055 36.44468942800006, 32.52024026000004 36.49685672600003, 32.51972714600004 36.54526306100007, 32.51780774800005 36.550924219000024, 32.50941433300005 36.57568013900004, 32.494395258000054 36.59764777300006, 32.49296067500006 36.599746064000044, 32.48715450000003 36.60823846200003, 32.47615839200006 36.63207138900003, 32.47555198200007 36.634423636000065, 32.474923690000026 36.63686076700003, 32.466448039000056 36.669737602000055, 32.45723133100006 36.73847110500003))"
1,Feature,F,F,T,1,353,F,F,TR622,TR522,MultiLineString,"[[[33.99753541600006, 37.097737746000064], [33.891936334000036, 37.03350374300004], [33.87198990700006, 37.02241707500008], [33.825459384000055, 36.99655437500007], [33.80396952500007, 36.98754214400003], [33.77305801000006, 36.98547150600007], [33.73492640200004, 36.99908602100004], [33.70212868500005, 37.010796122000045], [33.69928448200005, 37.01124811500006], [33.673183266000024, 37.015396053000075], [33.65769133900005, 37.01485838200006], [33.63504297700007, 37.00575289100004], [33.60828563700005, 36.98657084000007], [33.58112098700008, 36.96709679400004], [33.552221505000034, 36.955814505000035], [33.50570129700003, 36.94778766400003], [33.49675377600005, 36.948302031000026], [33.43700352900004, 36.95173690300004], [33.39340404100005, 36.949068590000024], [33.30616082900008, 36.92287929400004], [33.301683085000036, 36.92153513300008], [33.30115136100005, 36.92141374500005], [33.21827908500006, 36.90249467600006], [33.196351304000075, 36.89029607200007], [33.18337145900006, 36.87555524000004], [33.17284708500006, 36.85749508500004], [33.16709649100005, 36.84060108400007], [33.16012493000005, 36.82012014500003], [33.151409364000074, 36.812694401000044], [33.14035533100002, 36.814595], [33.12608047300006, 36.833659399000055], [33.11674569500008, 36.846126207000054], [33.10592625400005, 36.85153513500006], [33.04707761900005, 36.839524855000036], [33.02736295300008, 36.83550133500006], [33.002079104000074, 36.835421788000076], [32.964225070000055, 36.83530269400006], [32.95039812700003, 36.829698790000066], [32.943794731000025, 36.80388320600008], [32.95428127400004, 36.76896269100007], [32.967067574000055, 36.73927775800007], [32.99599101800004, 36.69031004200008], [33.009067953000056, 36.673985549000065], [33.02283889100005, 36.66471574500008], [33.044866306000074, 36.65690013900007], [33.06276204000005, 36.65055050600006], [33.07516701800006, 36.63686076700003], [33.075291581000045, 36.63672330300005], [33.07737542800004, 36.634423636000065], [33.08429594100005, 36.62678637800008], [33.13049561100007, 36.59764777300006], [33.20457646800003, 36.550924219000024], [33.20650166400003, 36.54970997800007], [33.23105263800005, 36.534225427000024], [33.23907248100005, 36.52566686600005], [33.237023280000074, 36.51898590700006], [33.22178936300003, 36.51032088900007], [33.19693862300005, 36.50916463600004], [33.18486850000005, 36.51418696500008], [33.15968898500006, 36.53089990700005], [33.146990380000034, 36.53932862600004], [33.12176139200005, 36.550924219000024], [33.12143806800003, 36.55107282300003], [33.10970051700008, 36.55194820600008], [33.10707020000007, 36.550924219000024], [33.09138245200006, 36.54481694400005], [33.07981239900005, 36.53551049600003], [33.06912842400004, 36.511097724000024], [33.05312223000004, 36.47452373700003], [33.02220683300004, 36.458022533000076], [32.98542451600002, 36.44733230500003], [32.949293416000046, 36.44212105100007], [32.917603273000054, 36.44056412900005], [32.90017751500005, 36.441540459000066], [32.85559535600004, 36.44403830700003], [32.83457905100005, 36.43935165900007], [32.82572286200008, 36.436218987000075], [32.77824626200004, 36.419425241000056], [32.76745919600006, 36.41560956700005], [32.68444159400008, 36.399849678000066], [32.680996066000034, 36.399195586000076], [32.666950831000065, 36.39652926700006], [32.61479405700004, 36.37846957900007], [32.59508933300003, 36.37164666500007], [32.573226832000046, 36.35762420000003]]]","MULTILINESTRING ((33.99753541600006 37.097737746000064, 33.891936334000036 37.03350374300004, 33.87198990700006 37.02241707500008, 33.825459384000055 36.99655437500007, 33.80396952500007 36.98754214400003, 33.77305801000006 36.98547150600007, 33.73492640200004 36.99908602100004, 33.70212868500005 37.010796122000045, 33.69928448200005 37.01124811500006, 33.673183266000024 37.015396053000075, 33.65769133900005 37.01485838200006, 33.63504297700007 37.00575289100004, 33.60828563700005 36.98657084000007, 33.58112098700008 36.96709679400004, 33.552221505000034 36.955814505000035, 33.50570129700003 36.94778766400003, 33.49675377600005 36.948302031000026, 33.43700352900004 36.95173690300004, 33.39340404100005 36.949068590000024, 33.30616082900008 36.92287929400004, 33.301683085000036 36.92153513300008, 33.30115136100005 36.92141374500005, 33.21827908500006 36.90249467600006, 33.196351304000075 36.89029607200007, 33.18337145900006 36.87555524000004, 33.17284708500006 36.85749508500004, 33.16709649100005 36.84060108400007, 33.16012493000005 36.82012014500003, 33.151409364000074 36.812694401000044, 33.14035533100002 36.814595, 33.12608047300006 36.833659399000055, 33.11674569500008 36.846126207000054, 33.10592625400005 36.85153513500006, 33.04707761900005 36.839524855000036, 33.02736295300008 36.83550133500006, 33.002079104000074 36.835421788000076, 32.964225070000055 36.83530269400006, 32.95039812700003 36.829698790000066, 32.943794731000025 36.80388320600008, 32.95428127400004 36.76896269100007, 32.967067574000055 36.73927775800007, 32.99599101800004 36.69031004200008, 33.009067953000056 36.673985549000065, 33.02283889100005 36.66471574500008, 33.044866306000074 36.65690013900007, 33.06276204000005 36.65055050600006, 33.07516701800006 36.63686076700003, 33.075291581000045 36.63672330300005, 33.07737542800004 36.634423636000065, 33.08429594100005 36.62678637800008, 33.13049561100007 36.59764777300006, 33.20457646800003 36.550924219000024, 33.20650166400003 36.54970997800007, 33.23105263800005 36.534225427000024, 33.23907248100005 36.52566686600005, 33.237023280000074 36.51898590700006, 33.22178936300003 36.51032088900007, 33.19693862300005 36.50916463600004, 33.18486850000005 36.51418696500008, 33.15968898500006 36.53089990700005, 33.146990380000034 36.53932862600004, 33.12176139200005 36.550924219000024, 33.12143806800003 36.55107282300003, 33.10970051700008 36.55194820600008, 33.10707020000007 36.550924219000024, 33.09138245200006 36.54481694400005, 33.07981239900005 36.53551049600003, 33.06912842400004 36.511097724000024, 33.05312223000004 36.47452373700003, 33.02220683300004 36.458022533000076, 32.98542451600002 36.44733230500003, 32.949293416000046 36.44212105100007, 32.917603273000054 36.44056412900005, 32.90017751500005 36.441540459000066, 32.85559535600004 36.44403830700003, 32.83457905100005 36.43935165900007, 32.82572286200008 36.436218987000075, 32.77824626200004 36.419425241000056, 32.76745919600006 36.41560956700005, 32.68444159400008 36.399849678000066, 32.680996066000034 36.399195586000076, 32.666950831000065 36.39652926700006, 32.61479405700004 36.37846957900007, 32.59508933300003 36.37164666500007, 32.573226832000046 36.35762420000003))"
2,Feature,F,F,T,1,383,F,F,TRC11,TR633,MultiLineString,"[[[36.697388293000074, 37.21814244900003], [36.60541808200003, 37.15451759300004], [36.57469668500005, 37.133264576000045], [36.543696501000056, 37.10781584600005], [36.52094046000008, 37.08487846300005], [36.501559659000065, 37.058313491000035], [36.486410625000076, 37.025775096000075], [36.48550750600003, 37.02241707500008], [36.46567298100007, 36.94866735900007]]]","MULTILINESTRING ((36.697388293000074 37.21814244900003, 36.60541808200003 37.15451759300004, 36.57469668500005 37.133264576000045, 36.543696501000056 37.10781584600005, 36.52094046000008 37.08487846300005, 36.501559659000065 37.058313491000035, 36.486410625000076 37.025775096000075, 36.48550750600003 37.02241707500008, 36.46567298100007 36.94866735900007))"
3,Feature,F,F,T,1,409,F,F,TR622,TR521,MultiLineString,"[[[34.428914622000036, 37.316384878000065], [34.44098472400003, 37.29448900500006], [34.44015364100005, 37.26291080400006], [34.42740983900006, 37.243819658000064], [34.40643005900006, 37.23124667800005], [34.38835595900008, 37.22330953300008], [34.34743897300007, 37.21178597800008], [34.21814437000006, 37.19023028600003], [34.139568448000034, 37.171492095000076], [34.08135043800007, 37.14636282200007], [33.99753541600006, 37.097737746000064]]]","MULTILINESTRING ((34.428914622000036 37.316384878000065, 34.44098472400003 37.29448900500006, 34.44015364100005 37.26291080400006, 34.42740983900006 37.243819658000064, 34.40643005900006 37.23124667800005, 34.38835595900008 37.22330953300008, 34.34743897300007 37.21178597800008, 34.21814437000006 37.19023028600003, 34.139568448000034 37.171492095000076, 34.08135043800007 37.14636282200007, 33.99753541600006 37.097737746000064))"
4,Feature,F,F,T,1,418,F,F,TR611,TR521,MultiLineString,"[[[32.45723133100006, 36.73847110500003], [32.43926587300007, 36.76676552600003], [32.425272644000074, 36.78066913400005], [32.39099901900005, 36.80674284000003], [32.35738759700007, 36.82528080000003], [32.32878226400004, 36.84152070400006], [32.30756393000007, 36.86152051500005], [32.306147261000035, 36.90234987900004], [32.29818513200007, 36.91576901900004], [32.22249102400008, 36.93950856400005], [32.136793331000035, 36.97943287800007], [32.09316639900004, 37.00319598900006], [32.065819618000035, 37.02241707500008], [32.00501758100006, 37.06515268000004], [31.95506036000006, 37.10985490500008], [31.921113352000077, 37.14775722300004], [31.876517241000045, 37.22768913700003], [31.848267754000062, 37.26406321700006], [31.79109299600003, 37.30833365600006], [31.75299810000007, 37.34640495700006], [31.740419332000045, 37.355499544000054], [31.720913892000056, 37.36101671800003], [31.706091970000045, 37.360701789000075], [31.638466505000054, 37.32609662300007], [31.611983906000034, 37.31678637300007], [31.584556113000076, 37.31461885300007], [31.548090114000047, 37.31643539400005]]]","MULTILINESTRING ((32.45723133100006 36.73847110500003, 32.43926587300007 36.76676552600003, 32.425272644000074 36.78066913400005, 32.39099901900005 36.80674284000003, 32.35738759700007 36.82528080000003, 32.32878226400004 36.84152070400006, 32.30756393000007 36.86152051500005, 32.306147261000035 36.90234987900004, 32.29818513200007 36.91576901900004, 32.22249102400008 36.93950856400005, 32.136793331000035 36.97943287800007, 32.09316639900004 37.00319598900006, 32.065819618000035 37.02241707500008, 32.00501758100006 37.06515268000004, 31.95506036000006 37.10985490500008, 31.921113352000077 37.14775722300004, 31.876517241000045 37.22768913700003, 31.848267754000062 37.26406321700006, 31.79109299600003 37.30833365600006, 31.75299810000007 37.34640495700006, 31.740419332000045 37.355499544000054, 31.720913892000056 37.36101671800003, 31.706091970000045 37.360701789000075, 31.638466505000054 37.32609662300007, 31.611983906000034 37.31678637300007, 31.584556113000076 37.31461885300007, 31.548090114000047 37.31643539400005))"
5,Feature,F,F,T,1,433,F,F,TR611,TR521,MultiLineString,"[[[31.548090114000047, 37.31643539400005], [31.488189651000027, 37.32468677900005], [31.452346625000075, 37.334245742000064], [31.405132639000044, 37.35458656900005], [31.40177015200004, 37.35603520300003], [31.399970005000057, 37.357048622000036], [31.330811906000065, 37.39598219100003], [31.30097517300004, 37.40425911700004]]]","MULTILINESTRING ((31.548090114000047 37.31643539400005, 31.488189651000027 37.32468677900005, 31.452346625000075 37.334245742000064, 31.405132639000044 37.35458656900005, 31.40177015200004 37.35603520300003, 31.399970005000057 37.357048622000036, 31.330811906000065 37.39598219100003, 31.30097517300004 37.40425911700004))"
6,Feature,F,F,T,1,438,F,F,TR713,TR622,MultiLineString,"[[[34.428914622000036, 37.316384878000065], [34.50991412900004, 37.347283994000065], [34.523394465000024, 37.35242637700003], [34.582747194000035, 37.37127377400003], [34.71247350600004, 37.40768768600003], [34.728966806000074, 37.41055280300003], [34.74800001600005, 37.40930389400006]]]","MULTILINESTRING ((34.428914622000036 37.316384878000065, 34.50991412900004 37.347283994000065, 34.523394465000024 37.35242637700003, 34.582747194000035 37.37127377400003, 34.71247350600004 37.40768768600003, 34.728966806000074 37.41055280300003, 34.74800001600005 37.40930389400006))"
7,Feature,F,F,T,1,310,F,F,TRC11,TR631,MultiLineString,"[[[36.46567298100007, 36.94866735900007], [36.475409856000056, 36.929031989000066], [36.49024312500006, 36.90877198800007], [36.51554250200007, 36.88589138000003], [36.53581616500003, 36.87208040400003], [36.57433222100008, 36.85566545200004], [36.60541808200003, 36.84752594200006], [36.66001068300005, 36.83323143400003]]]","MULTILINESTRING ((36.46567298100007 36.94866735900007, 36.475409856000056 36.929031989000066, 36.49024312500006 36.90877198800007, 36.51554250200007 36.88589138000003, 36.53581616500003 36.87208040400003, 36.57433222100008 36.85566545200004, 36.60541808200003 36.84752594200006, 36.66001068300005 36.83323143400003))"
8,Feature,F,F,T,1,313,F,F,TR611,TR323,MultiLineString,"[[[29.71326455600007, 36.95630930600004], [29.736330649000024, 36.94500858600003], [29.747160893000057, 36.935692595000035], [29.752965634000077, 36.92610614400007], [29.753440951000073, 36.91182975900006], [29.75137409000007, 36.89946680300005], [29.74328988800005, 36.88149704600005], [29.716868615000067, 36.84810560300008], [29.700891025000033, 36.827912981000054], [29.698808289000056, 36.82528080000003], [29.685678531000065, 36.804559426000026], [29.673481568000057, 36.77722963800005], [29.651441512000076, 36.71057454000004], [29.639099763000047, 36.673249750000025], [29.610068359000024, 36.63686076700003], [29.608123997000064, 36.634423636000065], [29.572698823000053, 36.59974607100003], [29.551218282000036, 36.578718854000044], [29.516370917000074, 36.550924219000024], [29.506274990000065, 36.54287159800003], [29.47254732700003, 36.520056289000024], [29.397543617000053, 36.47751963800005], [29.370310560000064, 36.46662187600003], [29.330999425000073, 36.45610865700007], [29.31635885700007, 36.445902054000044], [29.307549523000034, 36.425221400000055], [29.298979875000043, 36.347331703000066], [29.29037876900003, 36.333053507000045], [29.26056152600006, 36.30439907700003]]]","MULTILINESTRING ((29.71326455600007 36.95630930600004, 29.736330649000024 36.94500858600003, 29.747160893000057 36.935692595000035, 29.752965634000077 36.92610614400007, 29.753440951000073 36.91182975900006, 29.75137409000007 36.89946680300005, 29.74328988800005 36.88149704600005, 29.716868615000067 36.84810560300008, 29.700891025000033 36.827912981000054, 29.698808289000056 36.82528080000003, 29.685678531000065 36.804559426000026, 29.673481568000057 36.77722963800005, 29.651441512000076 36.71057454000004, 29.639099763000047 36.673249750000025, 29.610068359000024 36.63686076700003, 29.608123997000064 36.634423636000065, 29.572698823000053 36.59974607100003, 29.551218282000036 36.578718854000044, 29.516370917000074 36.550924219000024, 29.506274990000065 36.54287159800003, 29.47254732700003 36.520056289000024, 29.397543617000053 36.47751963800005, 29.370310560000064 36.46662187600003, 29.330999425000073 36.45610865700007, 29.31635885700007 36.445902054000044, 29.307549523000034 36.425221400000055, 29.298979875000043 36.347331703000066, 29.29037876900003 36.333053507000045, 29.26056152600006 36.30439907700003))"
9,Feature,F,F,T,1,329,F,F,TR613,TR323,MultiLineString,"[[[29.341446760000053, 37.00684889000007], [29.363311547000023, 36.99779509800004], [29.378706471000044, 36.98071803100004], [29.41245215600003, 36.96871068000007], [29.422462411000026, 36.95736152000006], [29.422507331000077, 36.93933203800003], [29.37893242100006, 36.875029031000054], [29.380078145000027, 36.86419885000004], [29.387242160000028, 36.85971187700005], [29.42936966700006, 36.86755369000008], [29.46911472000005, 36.88246327200005], [29.550979433000066, 36.93662516000006], [29.590003081000077, 36.97107930800007], [29.61057081000007, 36.98065975700007], [29.627028606000067, 36.98349471300003], [29.64708446000003, 36.980294462000074], [29.686782083000026, 36.968881424000074], [29.700891025000033, 36.96218343600003], [29.71326455600007, 36.95630930600004]]]","MULTILINESTRING ((29.341446760000053 37.00684889000007, 29.363311547000023 36.99779509800004, 29.378706471000044 36.98071803100004, 29.41245215600003 36.96871068000007, 29.422462411000026 36.95736152000006, 29.422507331000077 36.93933203800003, 29.37893242100006 36.875029031000054, 29.380078145000027 36.86419885000004, 29.387242160000028 36.85971187700005, 29.42936966700006 36.86755369000008, 29.46911472000005 36.88246327200005, 29.550979433000066 36.93662516000006, 29.590003081000077 36.97107930800007, 29.61057081000007 36.98065975700007, 29.627028606000067 36.98349471300003, 29.64708446000003 36.980294462000074, 29.686782083000026 36.968881424000074, 29.700891025000033 36.96218343600003, 29.71326455600007 36.95630930600004))"
