,attributes.OID,attributes.OBJECTID,attributes.BASENAME,attributes.PREDIR,attributes.PREDIRABRV,attributes.PREQUAL,attributes.PREQUALABRV,attributes.PRETYP,attributes.PRETYPEABRV,attributes.RTTYP,attributes.SUFDIR,attributes.SUFDIRABRV,attributes.SUFQUAL,attributes.SUFQUALABRV,attributes.SUFTYP,attributes.SUFTYPEABRV,attributes.NAME,attributes.MTFCC,geometry
0,1103731456294,126141,Beverly,,,,,,,M,,,,,531.0,Rd,Beverly Rd,S1200,"LINESTRING (-80.04624999990051 40.393789000183794, -80.04636999955112 40.393685999807005, -80.04642099960473 40.39363800009573, -80.04657399976561 40.39351499990968, -80.04688500011024 40.393266000146916, -80.0469389996386 40.3932230000534, -80.04696799995091 40.393163999912275, -80.04700499976084 40.39309699970095, -80.04708400030188 40.39287899968539, -80.04706699968511 40.39283799987037, -80.04702400002739 40.39273199998264, -80.04699800008815 40.39266600029102, -80.04694799985943 40.39243200005442, -80.0469470000345 40.392400000338945, -80.0469470000345 40.3923110002593, -80.04695399970721 40.39228699991787, -80.04699600043831 40.39215099987408, -80.04706199966225 40.39193800022956, -80.04712699995956 40.39174500002127, -80.04714200002819 40.391702999920376, -80.04716899979236 40.391609999848114, -80.04718100038625 40.391459999946484, -80.04737300000687 40.39088300029373, -80.04745099982468 40.39068499969337, -80.04750400042644 40.3905769999291, -80.04754799990906 40.390474999726656, -80.04767400030575 40.39025500019955, -80.04781300022292 40.390031000104344, -80.0479100003073 40.38991200002869, -80.0480369996306 40.38975599996747, -80.04810899960061 40.38968100004621, -80.04822499995157 40.389562000036335, -80.04843300036403 40.38938100021033, -80.04857899995389 40.38927900024907, -80.04866400034271 40.38922000007352, -80.04883000002407 40.38912300009003, -80.04895700024566 40.389048999782986, -80.04909899963758 40.38897899999093, -80.04932299994357 40.388869000268436, -80.04935499973061 40.38885400023017, -80.04994899993245 40.388594999817876, -80.05000900020691 40.38856900023661, -80.05023900036069 40.38847300032732, -80.05042400030861 40.38839500004374, -80.05049600027864 40.3883649997527, -80.05097699960425 40.38815199976531, -80.0510360000538 40.38812699966156, -80.05116499992522 40.38807900009328, -80.0513609997438 40.388006000342116, -80.05159000007266 40.38792200023994, -80.05196300034156 40.38783600004315, -80.05216699965776 40.38779000025881, -80.05237699972004 40.387745000097226, -80.0530069999069 40.38760899977593, -80.05321799979409 40.38756499983453, -80.05353699963631 40.38749499986855, -80.05449700043437 40.38728700022454, -80.05459299979552 40.38726700015913, -80.05466800013859 40.38724300007283, -80.05480899970559 40.38718899984733)"
1,110428609107,43527,Noblestown,,,,,,,M,,,,,531.0,Rd,Noblestown Rd,S1200,"LINESTRING (-80.0356039998914 40.440589999703754, -80.03562399998289 40.44045900000271, -80.0356020002416 40.44034600027467, -80.03553299974628 40.440246000084656, -80.03544700043086 40.44010999986103, -80.03537700011069 40.43999900003765, -80.03519299998766 40.439685000123646, -80.03515700000267 40.439592000028746, -80.03515600017775 40.43933499981061, -80.03522599959963 40.43871100020968, -80.0352669996075 40.438598000278375, -80.0352809998512 40.43856499968173, -80.03549400028655 40.43807799987079, -80.03549900030943 40.43806599999796, -80.03561200028733 40.43778399997746, -80.03564599972418 40.437672999732214, -80.0356599999679 40.437505000306, -80.0356730003867 40.437370000291985, -80.03567800040956 40.4370010001924, -80.03567699968633 40.43672700011082, -80.0356819997092 40.43660500033408, -80.03571699986931 40.43641499987104, -80.03573299976283 40.43633400022293, -80.03577799996869 40.43614199975556, -80.03582900002229 40.43595599989108, -80.03586800038036 40.43586100017712, -80.03589799961927 40.4358269999806, -80.03593799980223 40.43580100018071, -80.03602099964293 40.43574800024185, -80.03609400033616 40.43572399966237, -80.03620099956798 40.43571099974377, -80.03638800006404 40.43573799988749, -80.03650100004195 40.435763000086894, -80.03693500041021 40.435859000246495, -80.03713799990147 40.435903999697224, -80.0374769998352 40.43599300025434, -80.03767600002683 40.43605600030857, -80.03800200044009 40.436173000252744, -80.0382080003044 40.436250000256834, -80.03862500005592 40.436407000214004, -80.0387580001253 40.436457000106, -80.03884199979088 40.43649299989578, -80.03895300011897 40.436542000110514, -80.03912800002117 40.43662899991534, -80.03924799967176 40.436713999702405, -80.0394190002743 40.4368799998374, -80.03960300039732 40.437025999922135, -80.03975800020801 40.43708899969223, -80.03989999959992 40.437115999966316, -80.03999300038465 40.43713499997542, -80.04031600042484 40.43717600015673, -80.04064199993975 40.43721200024526, -80.0408279997126 40.43724500013857, -80.04091599957614 40.437262000222304, -80.04113300020943 40.43731299976404, -80.04123100011874 40.43733600017481, -80.04127299995153 40.437346000291484, -80.04169399990101 40.43747300013982, -80.04233099976054 40.437665999821476, -80.04316900035987 40.43791899984392, -80.04337400039927 40.437970999846776, -80.0434749997833 40.437997999766665, -80.04394400031167 40.43809999974597, -80.04424300006241 40.43816499973924, -80.0444759996909 40.438207999836926, -80.04451000002611 40.43821299983063, -80.04464999976818 40.43823499966164, -80.04473299960887 40.43824799977595, -80.04508800033442 40.438280000257045, -80.04536699999367 40.438292000091636, -80.04572600001887 40.43829799966626, -80.04595600017265 40.43829700007904, -80.04601499972387 40.43829500022088, -80.04623099963393 40.43829000023327, -80.046558999697 40.43826400001837, -80.04681200031531 40.438225999949196, -80.04686599984366 40.438217000235554, -80.04702800022538 40.4381920002649, -80.04708299957863 40.43818499972453, -80.04729500018907 40.438152999881936, -80.0474950002056 40.43812299988751, -80.04755700012987 40.43811600002362, -80.04775299994846 40.438097999881954, -80.0480230002852 40.43810100001985, -80.04851200000674 40.43813700029682, -80.04887000020705 40.43814999974636, -80.04891500041288 40.438149000156926, -80.04899099968254 40.43814100002253, -80.04921499998854 40.43812100002417, -80.04946500023378 40.43807499973187, -80.04970399971006 40.43797299971462, -80.04975700031183 40.43794800033697, -80.05029200006413 40.43770400020722, -80.05055200035513 40.4375909999508, -80.05063199982276 40.43757000019078, -80.05067500037877 40.43755899982549, -80.05094399999228 40.43750400002331, -80.05115900007745 40.43749500021297, -80.0512260000246 40.43749899997687, -80.05207399977134 40.43755300018491, -80.05235699962856 40.43757200007052, -80.05264700005677 40.43768499967515, -80.05285499957093 40.4377670000257, -80.05321500031937 40.4379109996821, -80.05337699980274 40.43794700006081, -80.05353599981142 40.43795399994229, -80.05357500016947 40.43795599981065, -80.05370900006376 40.43794800033697)"
2,110428559661,43497,Island,,,,,,,M,,,,,125.0,Ave,Island Ave,S1200,"LINESTRING (-80.03029100038174 40.46244599974356, -80.03051999981228 40.46228899977667, -80.03077599990533 40.46212500002888)"
