,attributes.OID,attributes.OBJECTID,attributes.BASENAME,attributes.PREDIR,attributes.PREDIRABRV,attributes.PREQUAL,attributes.PREQUALABRV,attributes.PRETYP,attributes.PRETYPEABRV,attributes.RTTYP,attributes.SUFDIR,attributes.SUFDIRABRV,attributes.SUFQUAL,attributes.SUFQUALABRV,attributes.SUFTYP,attributes.SUFTYPEABRV,attributes.NAME,attributes.MTFCC,geometry
63,1105643450650,196327,Queens,,,,,,,M,,,,,142.0,Blvd,Queens Blvd,S1200,"LINESTRING (-73.8535879998543 40.727134999835855, -73.8536449997557 40.72710000027694)"
64,1105643450692,196328,67th,,,,,,,M,,,,,125.0,Ave,67th Ave,S1200,"LINESTRING (-73.8535879998543 40.727134999835855, -73.8536449997557 40.72710000027694)"
65,1105013310143,186884,25,,,,,579.0,State Hwy,S,,,,,,,State Hwy 25,S1200,"LINESTRING (-73.8665760003356 40.73198000026542, -73.86607500002017 40.73169399997773, -73.86574600013219 40.73153899996271, -73.8644790000858 40.731089000266735, -73.86260000029421 40.73042000009901, -73.86218799966724 40.73027599982119, -73.86125899972966 40.729937000220126, -73.86052700033386 40.7296790002098, -73.8601149997069 40.729522000246945, -73.85938400013603 40.72923900032779, -73.85830299986247 40.728851999962174, -73.8579809996472 40.72873500027932, -73.85762199962198 40.72860300004105, -73.85710399958813 40.72841300008417, -73.8559539997176 40.72798499971308, -73.85583099969395 40.727939000234656, -73.85477899973272 40.72755299983639, -73.85439499959317 40.72741599977043, -73.8535879998543 40.727134999835855)"
66,110425921039,42665,Queens,,,,,,,M,,,,,142.0,Blvd,Queens Blvd,S1200,"LINESTRING (-73.84810600029023 40.72328700016496, -73.84798900011438 40.72278899995695, -73.84753399982972 40.722217000164875, -73.84638499978408 40.72187999992745, -73.84522700041595 40.721623000126975, -73.84497399979765 40.72186899991924)"
67,11012812715838,235813,Northern,,,,,,,M,,,,,142.0,Blvd,Northern Blvd,S1200,"LINESTRING (-73.8554039998967 40.75834000019474, -73.85530199978945 40.758292999673344, -73.85505400009232 40.758329999666735, -73.85490900032738 40.75833599984765, -73.85476600021225 40.75832799983315, -73.85462899994488 40.75830699987559, -73.8544959998755 40.75827900014867, -73.85438899974537 40.75825000015173, -73.85368599976357 40.75787700009586, -73.85341799997498 40.75772399970115, -73.85332699973839 40.757680999811484, -73.85323300002706 40.75764299986999, -73.85313500011777 40.75760999988525, -73.85303499966034 40.757583000133046, -73.85293299955309 40.7575600000834, -73.8528279999711 40.75754300027828, -73.85272300038912 40.75753099977281, -73.85241000039468 40.75753399989937, -73.85219100011156 40.75756699992185, -73.85162799987185 40.75770500008563, -73.85156199974962 40.75772899967071, -73.85124999958008 40.7578089998127, -73.85087499966136 40.757919000276075, -73.85050200029076 40.758033999823546, -73.85013200039491 40.75815500004973, -73.8497659997987 40.75827999972597, -73.84940299957555 40.758412000277495, -73.84903100002987 40.758564000196166, -73.84866799980671 40.758726999807756, -73.84831299997947 40.758900999711834, -73.84796700037306 40.75908500025685, -73.84763099991409 40.759278999998834, -73.84633899975333 40.76018999986458, -73.84585199968161 40.7604550001493, -73.84454600017547 40.76129500015501, -73.843716999797 40.761738999757675, -73.84283100041542 40.762079000108564, -73.84239700004714 40.762224999977626, -73.842113000365 40.76226899984733, -73.84124200015374 40.7624020001578, -73.84113400019869 40.76241200007318, -73.84102000039589 40.762419000081074, -73.84072900014274 40.76244400020052, -73.84043399969165 40.762454000109585, -73.83980600005295 40.76246200030794, -73.83969499972486 40.76246699992108, -73.83961400043232 40.762472999728566, -73.83934400009558 40.762486000216754, -73.83875200044187 40.76250899992278, -73.83855400007515 40.76250600002071, -73.83758999997745 40.762535999715425, -73.83732600038681 40.76255900008457, -73.83692700017865 40.76259900032299, -73.83689399966838 40.762602000220824, -73.83655200025993 40.762634999768544, -73.83639300025128 40.76265100012066, -73.83601199958645 40.76269300000605, -73.8358030002474 40.76270699996199, -73.83555700020008 40.76270800015313, -73.8348530003934 40.76268199994147, -73.8343400003824 40.762662999701824, -73.83326300030681 40.76264899973666, -73.83314899960568 40.76266900017198, -73.83188900013027 40.76282300026077, -73.83116500023212 40.76297699999268, -73.83052099980155 40.76316900025443, -73.82964000044285 40.76340400025932, -73.82867299997211 40.7636710003307, -73.82819699977105 40.76379599984008, -73.82603299957411 40.76425800004697, -73.82594200023581 40.764350999938905)"
68,11019626767893,245399,25,,,,,579.0,State Hwy,S,,,12.0,Alt,,,State Hwy 25 Alt,S1200,"LINESTRING (-73.82594200023581 40.764350999938905, -73.82348199976286 40.764651999677234, -73.820667000361 40.76499099993842, -73.81943499957639 40.76513799968878, -73.81732499980612 40.76535400006505, -73.8165289999379 40.76533700021209, -73.81617499993558 40.76532400028156, -73.81516700035527 40.76526600029887, -73.81413200011247 40.76518199967118, -73.81292000031767 40.76505700004704, -73.81195500039506 40.76486800027232, -73.81099299994719 40.764705000070954, -73.81005499978875 40.764377000178065, -73.809135000072 40.76407000021189, -73.80823100024875 40.76379800018956, -73.80733499992311 40.763498000164695, -73.80643100009988 40.76319400009177, -73.80552700027664 40.762889999989156, -73.80463099995102 40.762588999755316, -73.80374100037149 40.76213300003229, -73.80364000008915 40.762036999835196, -73.80332200007183 40.76179000002323, -73.80289600009947 40.761462000033234, -73.80204900017763 40.760835999741985, -73.80119100038516 40.76019800033538, -73.80083400000979 40.7599709996998, -73.8003000000824 40.759701999942365, -73.79940100028203 40.759396999957836, -73.79850199958334 40.759071000218505, -73.79760299978298 40.75874399999054, -73.79670499980753 40.75841799977056, -73.79580400035732 40.75809099973261, -73.79493200032115 40.75779800030073, -73.79402500012486 40.757736000171825, -73.79303000006504 40.757756000044125, -73.7920690003404 40.75777599991041, -73.79122200041854 40.757798999885274, -73.79031500022228 40.75782300011687, -73.78942800011747 40.75784799992357, -73.78849599980684 40.75787299972092, -73.78757500026516 40.75789800018926, -73.78666600041905 40.75794700015464, -73.78566200013837 40.75796099974924, -73.78339199963622 40.75775799989492, -73.78215300007724 40.75764299986999, -73.78107400035181 40.75759300009296, -73.7801019998582 40.7576260000861, -73.77941800014298 40.757690999756655, -73.77916000040013 40.75774699969405, -73.77827099974719 40.757981999816096, -73.77766700039793 40.7581480002732, -73.77740299990897 40.758213999692124, -73.7772000004177 40.75826900029194, -73.77701600029467 40.758319000240974, -73.77647499979628 40.75846700003304, -73.77557000014814 40.75868099981176, -73.77468700024129 40.75891999966596, -73.77422500028393 40.759043000132934, -73.77378099986991 40.759165000127865, -73.77291600040473 40.75939800019878, -73.77203500014771 40.75963599995953, -73.77182000006256 40.75968900027054, -73.77114899986783 40.75986699995305, -73.77027500018183 40.76008299976859, -73.7693370000234 40.76025400020215, -73.76845900013943 40.760383999783784, -73.76752000015608 40.76049200030011, -73.76660399973898 40.76064799975339, -73.76568999987 40.76080199976171, -73.76477099997814 40.760947999714105, -73.76385399973611 40.761095999776614, -73.76292800017156 40.76124700014905, -73.7620229996251 40.76139200027388, -73.7617480001638 40.76143700022486, -73.76110100025852 40.76154899986472, -73.76085199983817 40.76158399967094, -73.7603050003903 40.761683999987746, -73.75940900006468 40.76184100024967, -73.75848099995198 40.76199500021565, -73.75811500025411 40.76205399985182, -73.75717999957043 40.762209999721584, -73.75704599967611 40.76223399972138, -73.7569119997818 40.76225700019504, -73.75664599964303 40.762332000027556, -73.75611799956343 40.762437999710045, -73.75587999991205 40.7624979998277, -73.75432400016066 40.762836000000085, -73.75195300027448 40.763360999961535, -73.75160000009707 40.76343899976915, -73.75078599978718 40.76361899997023, -73.74876999972825 40.76407999987627, -73.74706199964089 40.76446000029774, -73.74687500004315 40.764518999786915, -73.74615600016784 40.764770000303514, -73.7457450002641 40.76491400006898, -73.74428200039912 40.76535799998983, -73.74303399972098 40.76546599990821, -73.74214300031655 40.76553100007686, -73.74125899968647 40.76570700015162, -73.74088299994284 40.76584599988899, -73.74045299977253 40.76605999972396, -73.74005399956435 40.76628599983794, -73.73963799963776 40.766611000117656, -73.73927899961255 40.766925000125994, -73.73911499958102 40.7670590000895, -73.7387470002333 40.76737300002209, -73.73817499977277 40.76786599998012, -73.73753899973813 40.76840200014818, -73.73707400030605 40.76879500028376, -73.73694999955917 40.76890599967262, -73.73650000019568 40.769436999847294, -73.73629299960814 40.76968800015823, -73.73596000042052 40.77009900025181, -73.73549300044029 40.77067400016546, -73.73488499999475 40.771390999757664, -73.73480399980389 40.77148399987235, -73.73440200012098 40.77194599969746, -73.7340160003316 40.77238800016634, -73.73399200004216 40.77241500002735, -73.73396199990493 40.77244900018946)"
69,1104690224819,173468,Broadway,,,,,,,M,,,,,,,Broadway,S1200,"LINESTRING (-73.89711500007206 40.892086000176285, -73.89669300029766 40.893005000189774, -73.89645800012103 40.89370600024537, -73.89658500034264 40.89515799990058, -73.89670699964307 40.89580499977294, -73.89699399969824 40.89787899990127, -73.89709099978262 40.89859300022718, -73.89718299984413 40.89934700030136, -73.89717199997347 40.89967899993199, -73.89714699985912 40.89978599974831, -73.89704899994983 40.90022400019971, -73.89703499970612 40.900287999957705, -73.89699200004841 40.90049999985954, -73.89694799966747 40.90071100029137, -73.8968780002456 40.90104100025751, -73.89685800015411 40.901127999783014, -73.8966670003584 40.902007000088965, -73.89640899971722 40.90296100005552, -73.89641100026537 40.90450499987163, -73.89643499965649 40.905092999906465, -73.89649300028113 40.90633900030692, -73.89654599998457 40.907507000189426, -73.89656400042624 40.90828800004424, -73.89657899959654 40.90890899984685, -73.8965960002133 40.909627999977985, -73.89660600025903 40.9102019998789, -73.89663100037339 40.91120699993013, -73.89663399984812 40.911323999984965)"
70,1108311157688,228592,Mosholu,,,,,,,M,,,,,460.0,Pkwy,Mosholu Pkwy,S1200,"LINESTRING (-73.88709699970165 40.88459500028651, -73.88709500005184 40.88482400003993, -73.88710199972454 40.88499499972452, -73.88711099994535 40.88507599970689, -73.8871350002348 40.88518300005141, -73.88735699999265 40.886222000252914, -73.88747199962039 40.88682600012693, -73.88758100029864 40.88731400005101, -73.88766099976627 40.887714000032624, -73.88770599997213 40.888082999985265, -73.88775100017796 40.888581000071106, -73.88774500033017 40.88891500005801, -73.8877260000636 40.88916099986488, -73.88768800042877 40.88958900026979, -73.88763700037514 40.88976799966094, -73.88730599993903 40.890704000298655, -73.88702599955654 40.89132200000085, -73.88657100017019 40.89209300009089, -73.88630400020651 40.89259900000806, -73.88569099973807 40.89372099998525, -73.88527200033674 40.89450700020109, -73.88505800007651 40.89497300009933, -73.88494699974842 40.89530000016055, -73.8847910001128 40.89573400022305, -73.88466700026424 40.896081000216384, -73.88461399966249 40.896344000116166, -73.88456900035496 40.89663999979842, -73.88454000004265 40.896960999895306, -73.88454800043856 40.897227999817275, -73.88456900035496 40.897466999926934, -73.88460199996692 40.89768899994845, -73.88468499980762 40.89801499997551, -73.88486100043302 40.89853099987109, -73.88496500019008 40.89878600015325, -73.88511099977995 40.899045000147204, -73.88527200033674 40.899248999952796, -73.88551900020894 40.89954100023064, -73.88567300019474 40.89966599983465, -73.88586200034064 40.8998209999933, -73.88612900030431 40.89999299978363, -73.88634199984133 40.90011699973398, -73.88653099998723 40.90022900029974, -73.8870850000061 40.90062900028716, -73.8866549998358 40.900384999971465, -73.88632900032087 40.90022199988798, -73.88610900021284 40.90008799991428, -73.88592000006695 40.8999650000693, -73.8857190002255 40.89981899966938, -73.88555299964584 40.89969399967554, -73.8853469997815 40.899504999670754, -73.88520200001655 40.89933800013686, -73.88498899958122 40.89904799998912, -73.8847910001128 40.89869599972657, -73.88463299992905 40.898358000169075, -73.88453199964673 40.89802600001921, -73.88446999972244 40.897763000016425, -73.88443299991253 40.897466999926934, -73.8844039996002 40.89717900012854, -73.88443299991253 40.89660300016521, -73.88446999972244 40.89630300013608, -73.88451900012626 40.896088999926704, -73.88461799986047 40.89578900028269, -73.8847330003865 40.89546399969898, -73.88488499982414 40.89507800027024, -73.88511099977995 40.89458900032499, -73.88549200044477 40.89388500004265, -73.88580999956378 40.893294000085724, -73.88637700000143 40.89215299981359, -73.88684700035472 40.89123400018914, -73.88719200013621 40.89002799995895, -73.88720700020484 40.889880000092184, -73.88721399987752 40.88982200029273, -73.8872769996267 40.8893319998875, -73.88732600003051 40.88880699998641, -73.88733100005338 40.888307999907255, -73.88729800044142 40.887493000163424, -73.88723099959596 40.88680099999079, -73.88701100038624 40.88539799992233, -73.88697899970089 40.885132000181684, -73.88696199998243 40.884814999937056, -73.88696799983022 40.88469700013517, -73.88698999957154 40.88444499970415, -73.88704700037125 40.88435799997129, -73.88709099985388 40.8844390000541, -73.88709699970165 40.88459500028651)"
71,110391527863,36871,Provost,,,,,,,M,,,,,125.0,Ave,Provost Ave,S1200,"LINESTRING (-73.82789600037049 40.88595200030053, -73.8279549999217 40.886084000324345, -73.8280670000747 40.88633599994731, -73.82818599990038 40.88660599969122, -73.8282429998018 40.88673399968799, -73.82827399976394 40.887363999926286, -73.82848300000131 40.88793400018033, -73.82813499984677 40.88857900008643, -73.82722400035082 40.89078500008394)"
72,1101042271735,99425,Boston Post,,,,,,,M,,,,,531.0,Rd,Boston Post Rd,S1200,"LINESTRING (-73.81955799960004 40.89016300024618, -73.81945499966787 40.890222999681825, -73.81907200025154 40.89043899978003, -73.81837299956939 40.89079799988935, -73.81833400010966 40.89089999968423)"
73,1105046692135,187829,1,,,,,640.0,US Hwy,U,,,,,,,US Hwy 1,S1200,"LINESTRING (-74.06553200024337 40.73908999990867, -74.06548200001464 40.739084999898765, -74.06542099991528 40.739080999754435, -74.06536099964083 40.73907999988849, -74.06530600028755 40.73908300016693, -74.06524900038613 40.73909499991819, -74.06518599973863 40.73911800022938, -74.06512800001232 40.73914400012772, -74.06507899960852 40.7391719997451, -74.0650409999737 40.739210000033445, -74.06498499989718 40.73927500001067, -74.0649790000494 40.73928599986444, -74.06496999982856 40.73930099984769, -74.06496300015588 40.739324000087656, -74.06494600043744 40.739358000161545, -74.06493999969135 40.73938300010468, -74.06493399984357 40.73940999976043, -74.06492299997291 40.73956700021385, -74.06489700003364 40.73964699974746, -74.06486400042168 40.73974499999789, -74.06483500010937 40.73978899977163, -74.06478599970556 40.73984800005686, -74.06443099987831 40.74020600006538, -74.0643530000605 40.74029500018292, -74.06425599997614 40.74040600020088, -74.06411500040915 40.74060199968221, -74.06407500022617 40.740643000042404, -74.06360200039815 40.741309000013054, -74.06349299971988 40.74155899985646, -74.06298999975463 40.743286000132045, -74.06261499983593 40.74451399974483, -74.06249900038327 40.7448790003153, -74.06230000019166 40.74547600033171, -74.0621839998407 40.745799000062775, -74.06203800025084 40.746207999997665, -74.0617620000663 40.746961999666134, -74.06169599994408 40.74710899981427, -74.06156700007263 40.74735499998811, -74.06142800015547 40.747614999664066, -74.06139100034554 40.74768300016544, -74.06134500031479 40.74776800018398, -74.06131000015469 40.74784200029584, -74.06129500008608 40.747868999920655, -74.06120999969725 40.748016999837205, -74.06112199983372 40.74819599987553, -74.06103399997015 40.74837200025327, -74.060931000038 40.74855800012299)"
74,1105046692128,187825,1,,,,,640.0,US Hwy,U,,,,,,,US Hwy 1,S1200,"LINESTRING (-74.060931000038 40.74855800012299, -74.0610010003582 40.74861499998992)"
75,1105319763455,190526,46,,,,,641.0,US Rte,U,,,,,,,US Rte 46,S1200,"LINESTRING (-74.05861899970306 40.86171799992472, -74.0585719998474 40.861905999781314)"
76,1105045755969,187687,139,,,,,586.0,State Rte,S,,,,,,,State Rte 139,S1200,"LINESTRING (-74.05280099968002 40.731799000200006, -74.05357700035506 40.73249699978655, -74.05457599971453 40.73332400034004, -74.05515400002284 40.73383200012546, -74.0557060003919 40.7343139997018, -74.05660699984209 40.7350850002161, -74.05882499956738 40.737008000311604, -74.05925599956261 40.73734400028564, -74.05944200023376 40.73752999968734, -74.05975400040329 40.73780300020583, -74.05999000040484 40.7380030000791, -74.0601140002534 40.738114999718256)"
77,1105046692216,187831,Tonnele,,,,,,,M,,,,,125.0,Ave,Tonnele Ave,S1200,"LINESTRING (-74.0610010003582 40.74861499998992, -74.06091500014448 40.748775000334305, -74.0607960003188 40.748974999883146, -74.0603960002857 40.74965099992154, -74.05988999994743 40.75023699989078, -74.05939799985282 40.75068299991818, -74.05840600016604 40.7516230000299, -74.05769599961324 40.752505000233135, -74.05678599994222 40.75363499968513, -74.05666200009367 40.75378900028897, -74.05495599965612 40.756060999719175, -74.05482199976183 40.75623999987831, -74.05477699955598 40.75629800025229, -74.0545940001562 40.75654399977415, -74.05415300011524 40.75711800033542, -74.05375300008215 40.75746599994581, -74.05207699978183 40.759068000161314, -74.05159899993095 40.75960099980796, -74.05113600014869 40.76018500008012, -74.05093000028435 40.760474999883975, -74.0507789997733 40.76068499979678, -74.0505879999776 40.7609500001493, -74.0499489995699 40.76187199976783, -74.04931300043359 40.76276500013667, -74.04782299990612 40.76485000013616, -74.04706999969562 40.7659539996947, -74.04695000004503 40.7661099999358, -74.046441000232 40.76677899969562, -74.04426899963913 40.7696350003369, -74.04383500016918 40.77020900010551, -74.04289199998787 40.771471999842895, -74.04276399994134 40.771666000166306, -74.04275300007072 40.77168199970482, -74.04250000035071 40.77209799995955, -74.04236800010624 40.77236599984311, -74.0422590003263 40.77270500021112, -74.04220099970166 40.77308899975485, -74.04208600007392 40.77343400001391, -74.04187799966148 40.77386999996947, -74.04164300038315 40.7742339999128, -74.04098700025702 40.77505399981207)"
78,11015503587433,238589,West,,,,,,,M,,,,,595.0,St,West St,S1200,"LINESTRING (-74.01693799966493 40.70481399980952, -74.01681100034163 40.70513599976164, -74.01658600021074 40.70570700022011, -74.01633099994261 40.70636400002982, -74.01629599978251 40.70644600001653, -74.01618600017765 40.70672799979801, -74.01604600043557 40.70703900029497, -74.01601799994816 40.707109999727486, -74.01599500038193 40.70716800004217, -74.01598000031332 40.707214999919614, -74.01596100004674 40.70726700012205, -74.01581799993161 40.70761400009311, -74.01579299981725 40.707689999919964, -74.01576100003022 40.70780099985175, -74.01499600012414 40.70984399980482, -74.01460799978662 40.711107999840465, -74.0143299999523 40.712517999767876, -74.01392099969837 40.71376399976414, -74.01352800023629 40.71526300019885, -74.01340699986248 40.715737999985194, -74.01320799967084 40.71652199983238, -74.0130360001417 40.71725500032067, -74.01295900014881 40.717429999986926, -74.01255499991778 40.71907000008322, -74.01226799986259 40.720332000332384, -74.0121270002956 40.72097699988641, -74.01198500000537 40.72165199975675, -74.01184199989024 40.72233399973312, -74.0116989997751 40.722991999671365, -74.01155900003302 40.7236359999028, -74.01143900038244 40.724283999702834, -74.01126500030516 40.72518699981088, -74.01114999977911 40.72577699977535, -74.01113200023576 40.72587500003369, -74.01110899977122 40.726002999987045, -74.01108899967974 40.72611400002382, -74.011078999634 40.726202999931836, -74.01087100011985 40.72817999967959, -74.01077200038564 40.72912199996385, -74.01069299984462 40.72983799981201, -74.01061300037699 40.73058599992858, -74.01055599957726 40.73129999971498, -74.01045000017038 40.732376999805396, -74.01038099967509 40.733157999853454, -74.01032299994876 40.733846999977125, -74.0102900003368 40.73423399988105, -74.01026199984942 40.73456900031778, -74.0101980002753 40.73531100012754, -74.01013999965066 40.736004999978526, -74.01005900035813 40.73696900022902, -74.01001499997719 40.73756800023305, -74.01007600007655 40.73814500020947, -74.0101079998636 40.73850799990783, -74.01012100028241 40.738654999683476, -74.01012299993224 40.73883600015559, -74.0101060002138 40.73901800000209, -74.01007000022878 40.73919800030298, -74.0100159998021 40.73937499985162)"
79,1105089087422,189380,9,,,,,641.0,US Rte,U,,,,,,,US Rte 9,S1200,"LINESTRING (-74.00152700031724 40.842808999769, -74.0014550003472 40.84291399978056, -74.00140900031646 40.842981000257666)"
80,1105089086940,189368,Bergen,,,,,,,M,,,,,142.0,Blvd,Bergen Blvd,S1200,"LINESTRING (-74.00418299971045 40.81160699984953, -74.00415599994628 40.811640000210915, -74.0041369996797 40.811671000288236, -74.00403200009771 40.81185199979252, -74.00386499969314 40.81218099996344, -74.00369599963874 40.812496000204135, -74.00363899973732 40.81260099995201, -74.00357000014034 40.81270299985877, -74.00341299978152 40.81295600007055, -74.00329599960565 40.81317099986035, -74.0032639998186 40.813235000150215, -74.00311599968059 40.813569000108735, -74.00296300041802 40.81399799967914, -74.00278299959466 40.81451900014521, -74.0027779995718 40.81453300005694, -74.00218599991808 40.8162780001062, -74.00194999991653 40.81688599976752, -74.00190100041105 40.81701399991647, -74.00153300016501 40.81779700032706, -74.00135800026283 40.81814600029857, -74.00098499999392 40.81884600022321, -74.00057999993797 40.819528999979426, -73.99990899974324 40.82058999967226, -73.99989100019991 40.820618000329404, -73.99950200003747 40.82123300024954, -73.99948000029616 40.82126899986922, -73.99909299978356 40.8218789999718, -73.99869199992555 40.82251199990616, -73.9985120000005 40.82279499976973, -73.99849899958171 40.822814999769676, -73.99845699974892 40.82288100020247, -73.99830500031128 40.823115999685925, -73.99790500027818 40.8237359999964, -73.99749400037445 40.82437199970891, -73.99710900040999 40.824966000210466, -73.9965899996529 40.825758999775545, -73.99631900038956 40.826162000210864, -73.99623499982566 40.8262839999727, -73.99580399983044 40.82688199996094, -73.99552500017118 40.82724999983549, -73.99541600039124 40.82738700012975, -73.9952370002911 40.827614000133224, -73.99499500044175 40.82790900000682, -73.9948089997706 40.828134999697205, -73.99448999992838 40.82852299973347, -73.99436000023204 40.8286799997074, -73.9940270001461 40.829084999807094, -73.99369900008305 40.82948299973582, -73.99355799961774 40.829685999952744, -73.99313199964537 40.83029899968552, -73.99266899986311 40.830967000089146, -73.99247399986945 40.831246999701555, -73.99204100022439 40.83187100011863, -73.99159000013768 40.83255800027894, -73.99157800044213 40.83257499991759, -73.9911199997844 40.83327399999769, -73.99091700029314 40.83359100027423, -73.99081099998791 40.83380199990974, -73.99074300021586 40.833976000257096, -73.99069200016224 40.83415199973767, -73.99065399962907 40.83435299966972, -73.9906190003673 40.834687999788166, -73.99060799959832 40.835024999816305, -73.9906129996212 40.8352490001639, -73.99062100001713 40.83537700021693, -73.99062299966694 40.83541700009782, -73.99063100006286 40.8356100000507, -73.99066100020009 40.835894999967834, -73.9907110004288 40.83618599996404, -73.99073599964484 40.836286999862644, -73.9907819996756 40.836473000322975, -73.9907819996756 40.836634000212406, -73.9907819996756 40.83673700029962, -73.99076599978208 40.83695000030226, -73.99073499981995 40.83715300008577, -73.99068999961409 40.83736100001938, -73.99063100006286 40.837529999782184, -73.99058099983415 40.837671000231786, -73.9904519999627 40.83797600030855, -73.99030100034997 40.83827499990626, -73.98949600026094 40.839563999668144, -73.98946500029881 40.83961099976845, -73.98848899960723 40.841177999794894, -73.98766599997485 40.842484999674966, -73.98671299974781 40.844010999959806, -73.98665099982352 40.844104999936505, -73.98646400022577 40.84440300010909, -73.98627699972971 40.844699999985515, -73.98623999991979 40.844759000218914, -73.9861970002621 40.84483299966574, -73.98605300032204 40.845079999819895, -73.98587900024476 40.845404999764725, -73.98570099996954 40.84577899987835, -73.98554899963358 40.84612999996193, -73.9853749995563 40.846580000172246, -73.98524800023301 40.8469519998873, -73.98520300002717 40.847096000159006, -73.98508400020147 40.84756200020519, -73.98498799994202 40.848030999808415, -73.98494699993412 40.848267000116635, -73.98488699965966 40.84870200033953, -73.98484099962891 40.84909800023853, -73.98483499978114 40.849150999824076, -73.98481300003982 40.84979899984249)"
81,1105063228531,189070,Mackay,,,,,,,M,,,,,322.0,Hwy,Mackay Hwy,S1200,"LINESTRING (-73.97556999962124 40.861188000101556, -73.97544699959758 40.86170900007722, -73.97473699994312 40.86404700005313, -73.9747150002018 40.86412099969864, -73.97456299986584 40.864613999973066, -73.97454500032248 40.86467200012375, -73.97447500000227 40.864887000039964, -73.97438399976569 40.865168999718776, -73.97433000023733 40.86535499996273, -73.97371299957096 40.867157000202354, -73.97350199968375 40.8677339996664)"
