,type,properties.EU_FLAG,properties.EFTA_FLAG,properties.CC_FLAG,properties.LEVL_CODE,properties.NUTS_BN_ID,properties.COAS_FLAG,properties.OTHR_FLAG,properties.LEFT_NUTS3,properties.RIGHT_NUTS3,geometry.type,geometry.coordinates,geometry
0,Feature,F,F,T,2,186,F,F,TR622,TR611,MultiLineString,"[[[32.573226832000046, 36.35762420000003], [32.58201982600008, 36.32941463100008], [32.61030713100007, 36.263378096000054], [32.612474579000036, 36.251084766000076], [32.60550967100005, 36.21599059400006], [32.61177879400003, 36.16977336600007], [32.60858222300004, 36.134641919000046], [32.60269746100005, 36.12103255000005], [32.576339844000074, 36.09323285700003]]]","MULTILINESTRING ((32.573226832000046 36.35762420000003, 32.58201982600008 36.32941463100008, 32.61030713100007 36.263378096000054, 32.612474579000036 36.251084766000076, 32.60550967100005 36.21599059400006, 32.61177879400003 36.16977336600007, 32.60858222300004 36.134641919000046, 32.60269746100005 36.12103255000005, 32.576339844000074 36.09323285700003))"
1,Feature,T,F,F,2,452,F,F,PT1C1,PT150,MultiLineString,"[[[-8.796265455999958, 37.44287863000005], [-8.789767886999925, 37.435050456000056], [-8.774418640999954, 37.435987743000055], [-8.77031397099995, 37.436238391000074], [-8.764234871999975, 37.432775596000056], [-8.758853366999972, 37.42971016600006], [-8.75612315899997, 37.43021701200007], [-8.750578565999945, 37.43124633200006], [-8.750942191999968, 37.42650060500006], [-8.751137146999952, 37.42395621600008], [-8.749048544999937, 37.42390710400008], [-8.745358197999963, 37.42382032900008], [-8.74672615999998, 37.42072641200008], [-8.74834629299994, 37.41706216000006], [-8.742314530999977, 37.414684333000025], [-8.738553698999965, 37.41320174700007], [-8.738147025999979, 37.40897660100006], [-8.737532311999928, 37.402590014000054], [-8.732974214999956, 37.397294921000025], [-8.722338384999944, 37.399463414000024], [-8.71942391899995, 37.40005763100004], [-8.713847143999942, 37.39933043100007], [-8.69041524599993, 37.39627496000003], [-8.685417400999938, 37.398885189000055], [-8.682720707999977, 37.40029359400006], [-8.66243547099998, 37.39897806400006], [-8.65554998999994, 37.38961015600006], [-8.653721333999954, 37.387122214000044], [-8.65016256399997, 37.38505179800006], [-8.647443548999945, 37.38346993300007], [-8.647010231999957, 37.38238457600005], [-8.644786221999937, 37.37681396000005], [-8.63782531499993, 37.37705062900005], [-8.634275973999934, 37.38540083100003], [-8.633978782999975, 37.385738393000054], [-8.62162156599993, 37.39977426000007], [-8.609648049999976, 37.400875152000026], [-8.59099686899998, 37.402590014000054], [-8.580307484999935, 37.40622335100005], [-8.579094874999953, 37.407053535000045], [-8.573280842999964, 37.41103397200004], [-8.56972148999995, 37.41042273700003], [-8.556223580999927, 37.402590014000054], [-8.531486321999978, 37.388235190000046], [-8.51508458099994, 37.37871739800005], [-8.512495118999936, 37.38091322400004], [-8.507722203999947, 37.384960585000044], [-8.494544270999938, 37.38565987700008], [-8.480492879999929, 37.383225336000066], [-8.464357140999937, 37.376644799000076], [-8.46049476099995, 37.37506962900005], [-8.454542931999981, 37.37371898400005], [-8.451656541999967, 37.37821629900003], [-8.447240994999959, 37.385096211000075], [-8.437808363999977, 37.384469729000045], [-8.431110996999962, 37.384024913000076], [-8.42760723999993, 37.38634684400006], [-8.422275673999934, 37.394519116000026], [-8.422949611999968, 37.399675269000056], [-8.423330584999974, 37.402590014000054], [-8.424160997999934, 37.40894333000006], [-8.419420982999952, 37.41056499600006], [-8.417504444999963, 37.41874389100008], [-8.414979222999932, 37.41897086000006], [-8.409357046999958, 37.419476186000054], [-8.408663065999974, 37.420389914000054], [-8.406166595999935, 37.42367688000007], [-8.399470305999955, 37.42574347400006], [-8.377926297999977, 37.42726492200006]]]","MULTILINESTRING ((-8.796265455999958 37.44287863000005, -8.789767886999925 37.435050456000056, -8.774418640999954 37.435987743000055, -8.77031397099995 37.436238391000074, -8.764234871999975 37.432775596000056, -8.758853366999972 37.42971016600006, -8.75612315899997 37.43021701200007, -8.750578565999945 37.43124633200006, -8.750942191999968 37.42650060500006, -8.751137146999952 37.42395621600008, -8.749048544999937 37.42390710400008, -8.745358197999963 37.42382032900008, -8.74672615999998 37.42072641200008, -8.74834629299994 37.41706216000006, -8.742314530999977 37.414684333000025, -8.738553698999965 37.41320174700007, -8.738147025999979 37.40897660100006, -8.737532311999928 37.402590014000054, -8.732974214999956 37.397294921000025, -8.722338384999944 37.399463414000024, -8.71942391899995 37.40005763100004, -8.713847143999942 37.39933043100007, -8.69041524599993 37.39627496000003, -8.685417400999938 37.398885189000055, -8.682720707999977 37.40029359400006, -8.66243547099998 37.39897806400006, -8.65554998999994 37.38961015600006, -8.653721333999954 37.387122214000044, -8.65016256399997 37.38505179800006, -8.647443548999945 37.38346993300007, -8.647010231999957 37.38238457600005, -8.644786221999937 37.37681396000005, -8.63782531499993 37.37705062900005, -8.634275973999934 37.38540083100003, -8.633978782999975 37.385738393000054, -8.62162156599993 37.39977426000007, -8.609648049999976 37.400875152000026, -8.59099686899998 37.402590014000054, -8.580307484999935 37.40622335100005, -8.579094874999953 37.407053535000045, -8.573280842999964 37.41103397200004, -8.56972148999995 37.41042273700003, -8.556223580999927 37.402590014000054, -8.531486321999978 37.388235190000046, -8.51508458099994 37.37871739800005, -8.512495118999936 37.38091322400004, -8.507722203999947 37.384960585000044, -8.494544270999938 37.38565987700008, -8.480492879999929 37.383225336000066, -8.464357140999937 37.376644799000076, -8.46049476099995 37.37506962900005, -8.454542931999981 37.37371898400005, -8.451656541999967 37.37821629900003, -8.447240994999959 37.385096211000075, -8.437808363999977 37.384469729000045, -8.431110996999962 37.384024913000076, -8.42760723999993 37.38634684400006, -8.422275673999934 37.394519116000026, -8.422949611999968 37.399675269000056, -8.423330584999974 37.402590014000054, -8.424160997999934 37.40894333000006, -8.419420982999952 37.41056499600006, -8.417504444999963 37.41874389100008, -8.414979222999932 37.41897086000006, -8.409357046999958 37.419476186000054, -8.408663065999974 37.420389914000054, -8.406166595999935 37.42367688000007, -8.399470305999955 37.42574347400006, -8.377926297999977 37.42726492200006))"
2,Feature,F,F,T,2,455,F,F,TRC21,TRC11,MultiLineString,"[[[38.008049905000064, 37.454741160000026], [37.990294995000056, 37.42056380200006], [37.96970365100003, 37.395689048000065], [37.95603533600007, 37.38759691300004], [37.90802529100006, 37.35917323600006], [37.89744089800007, 37.34891820800004], [37.88981717200005, 37.32476033300003], [37.882384365000064, 37.30120743600003], [37.87008481400005, 37.28425907500008], [37.843810234000046, 37.24805360300007], [37.84243385800005, 37.22984317100003], [37.85274745600003, 37.21280864800008], [37.85634308700003, 37.20686990100006], [37.85042805900008, 37.19769023300006], [37.840384881000034, 37.182103995000034], [37.83574711400007, 37.16618523100004], [37.839779942000064, 37.15190481600007], [37.847278790000075, 37.138784534000024], [37.87007386300007, 37.09890137200006], [37.87472083600005, 37.07154298900008], [37.876073656000074, 37.06357845900004], [37.879628377000074, 37.056105855000055], [37.90650253200005, 37.035415270000044], [37.92179186200008, 37.02870401600006], [37.94029627000003, 37.027119750000054], [37.94956087700007, 37.026326555000026], [37.955046509000056, 37.02241707500008], [37.97178289000004, 37.01048945400004], [37.97974949300004, 36.99655197200008], [37.98112268400007, 36.99058265700006], [37.98640832800004, 36.96760575900004], [38.00320819600006, 36.94239296200004], [38.01458733000004, 36.92531545800006], [38.01681212300008, 36.91270974100007], [38.018157390000056, 36.90508743500004], [38.02343768800006, 36.89825302500003], [38.03713175900003, 36.88052847900008], [38.04241200800004, 36.86533938400004], [38.043122598000025, 36.86262614800006], [38.047589592000065, 36.84555454600007]]]","MULTILINESTRING ((38.008049905000064 37.454741160000026, 37.990294995000056 37.42056380200006, 37.96970365100003 37.395689048000065, 37.95603533600007 37.38759691300004, 37.90802529100006 37.35917323600006, 37.89744089800007 37.34891820800004, 37.88981717200005 37.32476033300003, 37.882384365000064 37.30120743600003, 37.87008481400005 37.28425907500008, 37.843810234000046 37.24805360300007, 37.84243385800005 37.22984317100003, 37.85274745600003 37.21280864800008, 37.85634308700003 37.20686990100006, 37.85042805900008 37.19769023300006, 37.840384881000034 37.182103995000034, 37.83574711400007 37.16618523100004, 37.839779942000064 37.15190481600007, 37.847278790000075 37.138784534000024, 37.87007386300007 37.09890137200006, 37.87472083600005 37.07154298900008, 37.876073656000074 37.06357845900004, 37.879628377000074 37.056105855000055, 37.90650253200005 37.035415270000044, 37.92179186200008 37.02870401600006, 37.94029627000003 37.027119750000054, 37.94956087700007 37.026326555000026, 37.955046509000056 37.02241707500008, 37.97178289000004 37.01048945400004, 37.97974949300004 36.99655197200008, 37.98112268400007 36.99058265700006, 37.98640832800004 36.96760575900004, 38.00320819600006 36.94239296200004, 38.01458733000004 36.92531545800006, 38.01681212300008 36.91270974100007, 38.018157390000056 36.90508743500004, 38.02343768800006 36.89825302500003, 38.03713175900003 36.88052847900008, 38.04241200800004 36.86533938400004, 38.043122598000025 36.86262614800006, 38.047589592000065 36.84555454600007))"
3,Feature,T,F,F,2,465,F,F,EL653,EL633,MultiLineString,"[[[21.96559254400006, 37.48344859400004], [21.962935023000057, 37.48432881600007], [21.956853339000077, 37.48527481600007], [21.953771792000055, 37.485191987000064], [21.95085156500005, 37.484652605000065], [21.94806918300003, 37.48383460900004], [21.944794353000077, 37.48197149300006], [21.938284150000072, 37.479593485000066], [21.93189231300005, 37.47628396600004], [21.92832281400007, 37.475052074000075], [21.92621917100007, 37.47358550900003], [21.923491126000044, 37.47063010100004], [21.92448094200006, 37.46916255100007], [21.926516838000055, 37.466144033000035], [21.92175525300007, 37.467241528000045], [21.91250135100006, 37.469374456000025], [21.90145854000008, 37.45293672300005], [21.89782754500004, 37.44753182000005], [21.893543544000067, 37.447856641000044], [21.89006071600005, 37.45094744700003], [21.886004740000033, 37.45454688800004], [21.88358695000005, 37.442192541000054], [21.889728869000066, 37.43060300900004], [21.89138619600004, 37.42747570500006], [21.89353503800004, 37.41618561700005], [21.899982575000024, 37.408615593000036], [21.89763920100006, 37.40184134300006], [21.890928651000024, 37.40371927000007], [21.867248261000043, 37.396661159000075], [21.864106282000023, 37.39561404800003], [21.860822088000077, 37.39538124500007], [21.86073655900003, 37.395375182000066], [21.860036577000074, 37.39513587500005], [21.858862160000058, 37.39473436900005], [21.858689752000032, 37.39471516700007], [21.856161686000064, 37.39443360100006], [21.85538476000005, 37.393682786000056], [21.85431975000006, 37.39265357000005], [21.851286650000077, 37.39233216000008], [21.84965397900004, 37.391415539000036], [21.837289396000074, 37.39261013500004], [21.823797434000028, 37.39391365100005], [21.820150045000048, 37.39709602900007], [21.813533230000075, 37.39306708600003], [21.81269639900006, 37.392557544000056], [21.800482900000077, 37.39320988700007], [21.793232213000067, 37.393597158000034], [21.787593033000064, 37.398104631000024], [21.78369190500007, 37.39696667900006], [21.741012736000073, 37.39416536900006], [21.739500431000067, 37.394503436000036], [21.731397990000062, 37.39396583700005], [21.724896699000055, 37.393534474000035], [21.718079937000027, 37.39354517800007], [21.71123489300004, 37.39418646800004], [21.706771611000022, 37.39460461800007], [21.68023314100003, 37.37743373500007]]]","MULTILINESTRING ((21.96559254400006 37.48344859400004, 21.962935023000057 37.48432881600007, 21.956853339000077 37.48527481600007, 21.953771792000055 37.485191987000064, 21.95085156500005 37.484652605000065, 21.94806918300003 37.48383460900004, 21.944794353000077 37.48197149300006, 21.938284150000072 37.479593485000066, 21.93189231300005 37.47628396600004, 21.92832281400007 37.475052074000075, 21.92621917100007 37.47358550900003, 21.923491126000044 37.47063010100004, 21.92448094200006 37.46916255100007, 21.926516838000055 37.466144033000035, 21.92175525300007 37.467241528000045, 21.91250135100006 37.469374456000025, 21.90145854000008 37.45293672300005, 21.89782754500004 37.44753182000005, 21.893543544000067 37.447856641000044, 21.89006071600005 37.45094744700003, 21.886004740000033 37.45454688800004, 21.88358695000005 37.442192541000054, 21.889728869000066 37.43060300900004, 21.89138619600004 37.42747570500006, 21.89353503800004 37.41618561700005, 21.899982575000024 37.408615593000036, 21.89763920100006 37.40184134300006, 21.890928651000024 37.40371927000007, 21.867248261000043 37.396661159000075, 21.864106282000023 37.39561404800003, 21.860822088000077 37.39538124500007, 21.86073655900003 37.395375182000066, 21.860036577000074 37.39513587500005, 21.858862160000058 37.39473436900005, 21.858689752000032 37.39471516700007, 21.856161686000064 37.39443360100006, 21.85538476000005 37.393682786000056, 21.85431975000006 37.39265357000005, 21.851286650000077 37.39233216000008, 21.84965397900004 37.391415539000036, 21.837289396000074 37.39261013500004, 21.823797434000028 37.39391365100005, 21.820150045000048 37.39709602900007, 21.813533230000075 37.39306708600003, 21.81269639900006 37.392557544000056, 21.800482900000077 37.39320988700007, 21.793232213000067 37.393597158000034, 21.787593033000064 37.398104631000024, 21.78369190500007 37.39696667900006, 21.741012736000073 37.39416536900006, 21.739500431000067 37.394503436000036, 21.731397990000062 37.39396583700005, 21.724896699000055 37.393534474000035, 21.718079937000027 37.39354517800007, 21.71123489300004 37.39418646800004, 21.706771611000022 37.39460461800007, 21.68023314100003 37.37743373500007))"
4,Feature,F,F,T,2,333,F,F,TR631,TR621,MultiLineString,"[[[36.05270979800008, 37.01850833000003], [36.042081422000024, 37.01310299800008], [35.995414907000054, 36.96756083900004], [35.96040365500005, 36.92051978000006], [35.95816337400004, 36.91084305600003], [35.96310123200004, 36.90301613400004]]]","MULTILINESTRING ((36.05270979800008 37.01850833000003, 36.042081422000024 37.01310299800008, 35.995414907000054 36.96756083900004, 35.96040365500005 36.92051978000006, 35.95816337400004 36.91084305600003, 35.96310123200004 36.90301613400004))"
5,Feature,T,F,F,2,611,F,F,ES431,ES422,MultiLineString,"[[[-5.046995845999959, 38.72913357700003], [-5.037224501999958, 38.733355165000035], [-5.033959533999962, 38.73366918600004], [-5.014706900999954, 38.735520886000074], [-5.003251820999935, 38.73370204400004], [-4.991974079999977, 38.73894621100004], [-4.973001247999946, 38.76145123600003], [-4.968255591999934, 38.776054454000075], [-4.961373174999949, 38.78904989800003], [-4.957276261999937, 38.81083258900003], [-4.953669438999952, 38.83000954500005], [-4.948867320999966, 38.84019852700004], [-4.944564642999978, 38.847182915000076], [-4.943713595999952, 38.85104416400003], [-4.943528303999926, 38.854427593000025], [-4.934626779999974, 38.86488335000007], [-4.928023180999958, 38.86998408100004], [-4.924299853999969, 38.87684617800005], [-4.922315577999939, 38.878482672000075], [-4.918813002999968, 38.88066110600005], [-4.914984793999963, 38.88748951700006], [-4.883425452999973, 38.887143356000024], [-4.866640523999934, 38.886959250000075], [-4.853544150999937, 38.882957662000024], [-4.849292417999948, 38.88213846200006], [-4.846848506999947, 38.88463494200005], [-4.84158469099998, 38.91798934900004], [-4.831922593999934, 38.93617429300008], [-4.834648363999975, 38.939630511000075], [-4.842857594999941, 38.94075364100007], [-4.843057903999977, 38.94514093200007], [-4.85956308599998, 38.946783233000076], [-4.878275719999976, 38.948645181000074], [-4.890341955999929, 38.952931308000075], [-4.894206269999927, 38.95995472800007], [-4.903837912999961, 38.962877579000065], [-4.918264117999968, 38.957096068000055], [-4.928968621999957, 38.968784362000065], [-4.932102608999969, 38.97287818700005], [-4.933712804999971, 38.97562798000007], [-4.936908722999931, 38.98532090700007], [-4.936120106999965, 38.99024606300003], [-4.937091517999932, 38.99681512300003], [-4.944237508999947, 39.006824556000026], [-4.945320295999977, 39.008834888000024], [-4.947605733999978, 39.01631957500007], [-4.948577145999934, 39.022224650000055], [-4.949888176999934, 39.02668746900008], [-4.951674174999937, 39.03149801300003], [-4.960343458999944, 39.048012147000065], [-4.961909203999937, 39.052391114000045], [-4.962547987999926, 39.05877717000004], [-4.959608282999966, 39.05774712500005], [-4.954418598999951, 39.05773549000003], [-4.948657055999945, 39.056297047000044], [-4.941453129999957, 39.05655301400003], [-4.91333797599998, 39.04783879200005], [-4.896988218999979, 39.03966890800007], [-4.885188910999943, 39.03377285800008], [-4.861529315999974, 39.03248690800007], [-4.847700417999931, 39.04587052900007], [-4.833921095999926, 39.046338656000046], [-4.825858678999964, 39.062595497000075], [-4.837676011999974, 39.07142747800003], [-4.848306974999957, 39.07463898900005], [-4.858914736999964, 39.07784349100007], [-4.874118339999939, 39.09945384100007], [-4.870385692999946, 39.11242340200005], [-4.863842893999959, 39.11834524900007], [-4.856553726999948, 39.12494263000008], [-4.857152527999972, 39.13245284300007], [-4.857346240999959, 39.13488240800007], [-4.85340746299994, 39.15158998100003], [-4.844761817999938, 39.161316689000046], [-4.837219279999943, 39.16364272800007], [-4.832456165999929, 39.16511162100005], [-4.832175782999968, 39.16817201400005], [-4.831444418999979, 39.17615488700005], [-4.821923604999938, 39.18099492300007], [-4.806649523999965, 39.19828346800006], [-4.773732155999937, 39.18984900400005], [-4.740091154999959, 39.193928619000076], [-4.713984908999976, 39.187343214000066], [-4.711853040999927, 39.18634174600004], [-4.677702731999943, 39.17029927600004], [-4.649005881999926, 39.16494736400006], [-4.649088788999961, 39.17066808100003], [-4.661834344999932, 39.17851780500007], [-4.663372780999964, 39.18426136800008], [-4.681974786999945, 39.19331056800007], [-4.689826774999972, 39.203890228000034], [-4.698236560999931, 39.20695580700004], [-4.705122479999943, 39.209465899000065], [-4.707029721999959, 39.21016113700006], [-4.705958890999966, 39.21500496400006], [-4.707428972999935, 39.21999050000005], [-4.714480137999942, 39.24390334700007], [-4.72058930999998, 39.246691448000036], [-4.731683227999952, 39.25175448400006], [-4.731370573999925, 39.255206860000044], [-4.740498885999955, 39.28182069700006], [-4.759941599999934, 39.32036090400004], [-4.735280816999932, 39.32648991900004], [-4.731023188999927, 39.32682928600008], [-4.708031867999978, 39.32866187900004], [-4.708997790999945, 39.348699055000054], [-4.709060639999961, 39.350002808000056], [-4.704085728999928, 39.364046719000044], [-4.69517756099998, 39.37331427300006]]]","MULTILINESTRING ((-5.046995845999959 38.72913357700003, -5.037224501999958 38.733355165000035, -5.033959533999962 38.73366918600004, -5.014706900999954 38.735520886000074, -5.003251820999935 38.73370204400004, -4.991974079999977 38.73894621100004, -4.973001247999946 38.76145123600003, -4.968255591999934 38.776054454000075, -4.961373174999949 38.78904989800003, -4.957276261999937 38.81083258900003, -4.953669438999952 38.83000954500005, -4.948867320999966 38.84019852700004, -4.944564642999978 38.847182915000076, -4.943713595999952 38.85104416400003, -4.943528303999926 38.854427593000025, -4.934626779999974 38.86488335000007, -4.928023180999958 38.86998408100004, -4.924299853999969 38.87684617800005, -4.922315577999939 38.878482672000075, -4.918813002999968 38.88066110600005, -4.914984793999963 38.88748951700006, -4.883425452999973 38.887143356000024, -4.866640523999934 38.886959250000075, -4.853544150999937 38.882957662000024, -4.849292417999948 38.88213846200006, -4.846848506999947 38.88463494200005, -4.84158469099998 38.91798934900004, -4.831922593999934 38.93617429300008, -4.834648363999975 38.939630511000075, -4.842857594999941 38.94075364100007, -4.843057903999977 38.94514093200007, -4.85956308599998 38.946783233000076, -4.878275719999976 38.948645181000074, -4.890341955999929 38.952931308000075, -4.894206269999927 38.95995472800007, -4.903837912999961 38.962877579000065, -4.918264117999968 38.957096068000055, -4.928968621999957 38.968784362000065, -4.932102608999969 38.97287818700005, -4.933712804999971 38.97562798000007, -4.936908722999931 38.98532090700007, -4.936120106999965 38.99024606300003, -4.937091517999932 38.99681512300003, -4.944237508999947 39.006824556000026, -4.945320295999977 39.008834888000024, -4.947605733999978 39.01631957500007, -4.948577145999934 39.022224650000055, -4.949888176999934 39.02668746900008, -4.951674174999937 39.03149801300003, -4.960343458999944 39.048012147000065, -4.961909203999937 39.052391114000045, -4.962547987999926 39.05877717000004, -4.959608282999966 39.05774712500005, -4.954418598999951 39.05773549000003, -4.948657055999945 39.056297047000044, -4.941453129999957 39.05655301400003, -4.91333797599998 39.04783879200005, -4.896988218999979 39.03966890800007, -4.885188910999943 39.03377285800008, -4.861529315999974 39.03248690800007, -4.847700417999931 39.04587052900007, -4.833921095999926 39.046338656000046, -4.825858678999964 39.062595497000075, -4.837676011999974 39.07142747800003, -4.848306974999957 39.07463898900005, -4.858914736999964 39.07784349100007, -4.874118339999939 39.09945384100007, -4.870385692999946 39.11242340200005, -4.863842893999959 39.11834524900007, -4.856553726999948 39.12494263000008, -4.857152527999972 39.13245284300007, -4.857346240999959 39.13488240800007, -4.85340746299994 39.15158998100003, -4.844761817999938 39.161316689000046, -4.837219279999943 39.16364272800007, -4.832456165999929 39.16511162100005, -4.832175782999968 39.16817201400005, -4.831444418999979 39.17615488700005, -4.821923604999938 39.18099492300007, -4.806649523999965 39.19828346800006, -4.773732155999937 39.18984900400005, -4.740091154999959 39.193928619000076, -4.713984908999976 39.187343214000066, -4.711853040999927 39.18634174600004, -4.677702731999943 39.17029927600004, -4.649005881999926 39.16494736400006, -4.649088788999961 39.17066808100003, -4.661834344999932 39.17851780500007, -4.663372780999964 39.18426136800008, -4.681974786999945 39.19331056800007, -4.689826774999972 39.203890228000034, -4.698236560999931 39.20695580700004, -4.705122479999943 39.209465899000065, -4.707029721999959 39.21016113700006, -4.705958890999966 39.21500496400006, -4.707428972999935 39.21999050000005, -4.714480137999942 39.24390334700007, -4.72058930999998 39.246691448000036, -4.731683227999952 39.25175448400006, -4.731370573999925 39.255206860000044, -4.740498885999955 39.28182069700006, -4.759941599999934 39.32036090400004, -4.735280816999932 39.32648991900004, -4.731023188999927 39.32682928600008, -4.708031867999978 39.32866187900004, -4.708997790999945 39.348699055000054, -4.709060639999961 39.350002808000056, -4.704085728999928 39.364046719000044, -4.69517756099998 39.37331427300006))"
6,Feature,T,F,F,2,614,F,F,ES431,ES425,MultiLineString,"[[[-4.940783379999971, 39.395164385000044], [-4.952554687999964, 39.395038562000025]]]","MULTILINESTRING ((-4.940783379999971 39.395164385000044, -4.952554687999964 39.395038562000025))"
7,Feature,F,F,T,2,621,F,F,TR723,TR714,MultiLineString,"[[[34.644181367000044, 39.41150406100007], [34.688218678000055, 39.38550075100005], [34.70803078800003, 39.37380202600008], [34.76848143900003, 39.34427018700006], [34.77636163000005, 39.34042049300007], [34.81256889700006, 39.32042329400008], [34.842407954000066, 39.30394324400004], [34.89780245700007, 39.29187409600007]]]","MULTILINESTRING ((34.644181367000044 39.41150406100007, 34.688218678000055 39.38550075100005, 34.70803078800003 39.37380202600008, 34.76848143900003 39.34427018700006, 34.77636163000005 39.34042049300007, 34.81256889700006 39.32042329400008, 34.842407954000066 39.30394324400004, 34.89780245700007 39.29187409600007))"
8,Feature,T,F,F,2,622,F,F,ES431,ES422,MultiLineString,"[[[-4.75541113099996, 39.415760083000066], [-4.774631373999966, 39.39779851600008], [-4.790992944999971, 39.39753168800007], [-4.806722663999949, 39.397275164000064], [-4.822586557999955, 39.39281110400003], [-4.828631684999948, 39.389385153000035], [-4.84481098699996, 39.38021586700006], [-4.851871434999964, 39.37997766500007], [-4.859690563999948, 39.37971386700008], [-4.866135201999953, 39.37420366900005], [-4.871808189999967, 39.36935323600005], [-4.901038693999965, 39.37521649900003], [-4.920908048999934, 39.38693968200005], [-4.93162879099998, 39.38846809800003], [-4.933412912999927, 39.39245415500005], [-4.933572679999941, 39.39281110400003], [-4.93566644699996, 39.39550754800007], [-4.940783379999971, 39.395164385000044]]]","MULTILINESTRING ((-4.75541113099996 39.415760083000066, -4.774631373999966 39.39779851600008, -4.790992944999971 39.39753168800007, -4.806722663999949 39.397275164000064, -4.822586557999955 39.39281110400003, -4.828631684999948 39.389385153000035, -4.84481098699996 39.38021586700006, -4.851871434999964 39.37997766500007, -4.859690563999948 39.37971386700008, -4.866135201999953 39.37420366900005, -4.871808189999967 39.36935323600005, -4.901038693999965 39.37521649900003, -4.920908048999934 39.38693968200005, -4.93162879099998 39.38846809800003, -4.933412912999927 39.39245415500005, -4.933572679999941 39.39281110400003, -4.93566644699996 39.39550754800007, -4.940783379999971 39.395164385000044))"
9,Feature,F,F,T,2,483,F,F,TR721,TR714,MultiLineString,"[[[35.034187779000035, 39.00488092200004], [35.02799554100005, 38.990639946000044], [35.021615386000065, 38.95581842900003], [35.01828507400006, 38.937642297000025], [34.99877485900004, 38.86662088200006], [34.99412302600007, 38.85462077700004], [34.96837216700004, 38.78819254600006], [34.97310313300005, 38.77477174300003], [34.97984996100007, 38.76592841300004], [35.010563312000045, 38.74818546400007], [35.022112237000044, 38.74151370800007], [35.03278215900008, 38.72889101000004], [35.036056829000074, 38.71571346800005], [35.035395599000026, 38.70605343100004], [35.03173410000005, 38.652561856000034], [35.041823529000055, 38.63568778100006], [35.04521452300003, 38.63151194900007], [35.07432531300003, 38.59566354000003], [35.078790509000044, 38.590164885000036], [35.08284908600007, 38.568932817000075], [35.06983875800006, 38.55206691600006], [35.009833686000036, 38.492766852000045], [34.990865702000065, 38.48138982900008], [34.93738198900007, 38.45760611400004], [34.928505305000044, 38.453658734000044], [34.889100824000025, 38.420627780000075], [34.88533417900004, 38.41330597600006], [34.883898841000075, 38.39843809100006], [34.884962683000026, 38.35826242600007], [34.885322116000054, 38.34468856900003]]]","MULTILINESTRING ((35.034187779000035 39.00488092200004, 35.02799554100005 38.990639946000044, 35.021615386000065 38.95581842900003, 35.01828507400006 38.937642297000025, 34.99877485900004 38.86662088200006, 34.99412302600007 38.85462077700004, 34.96837216700004 38.78819254600006, 34.97310313300005 38.77477174300003, 34.97984996100007 38.76592841300004, 35.010563312000045 38.74818546400007, 35.022112237000044 38.74151370800007, 35.03278215900008 38.72889101000004, 35.036056829000074 38.71571346800005, 35.035395599000026 38.70605343100004, 35.03173410000005 38.652561856000034, 35.041823529000055 38.63568778100006, 35.04521452300003 38.63151194900007, 35.07432531300003 38.59566354000003, 35.078790509000044 38.590164885000036, 35.08284908600007 38.568932817000075, 35.06983875800006 38.55206691600006, 35.009833686000036 38.492766852000045, 34.990865702000065 38.48138982900008, 34.93738198900007 38.45760611400004, 34.928505305000044 38.453658734000044, 34.889100824000025 38.420627780000075, 34.88533417900004 38.41330597600006, 34.883898841000075 38.39843809100006, 34.884962683000026 38.35826242600007, 34.885322116000054 38.34468856900003))"
