,id,geometry,version,sources,subtype,class,level,has_parts,height,is_underground,num_floors,num_floors_underground,min_height,min_floor,facade_color,facade_material,roof_material,roof_shape,roof_direction,roof_orientation,roof_color,roof_height,source_property,source_dataset,source_record_id,update_time,source_confidence,name
25,08b44a1129c21fff0200cd5d1231ccef,"POLYGON ((-80.2119298 25.7662678, -80.2119239 25.7661339, -80.2119228 25.7660545, -80.2117265 25.7660569, -80.211729 25.7662207, -80.2118481 25.7662192, -80.2118488 25.7662688, -80.2119298 25.7662678))",0,"[{""property"": """", ""dataset"": ""OpenStreetMap"", ""record_id"": ""w435566929@2"", ""update_time"": ""2021-07-03T20:17:24.000Z"", ""confidence"": null}]",,,,False,8.1,False,,,,,,,,,,,,,,OpenStreetMap,w435566929@2,2021-07-03T20:17:24.000Z,,null
26,08b44a1129c23fff02008cd4096bfa26,"POLYGON ((-80.2113931 25.7663888, -80.2116354 25.7663792, -80.2116223 25.7660424, -80.2113318 25.7660482, -80.211316 25.7660658, -80.2113197 25.7663453, -80.2113886 25.7663457, -80.2113931 25.7663888))",0,"[{""property"": """", ""dataset"": ""OpenStreetMap"", ""record_id"": ""w435376694@1"", ""update_time"": ""2016-08-02T21:12:20.000Z"", ""confidence"": null}]",,,,False,12.8,False,,,,,,,,,,,,,,OpenStreetMap,w435376694@1,2016-08-02T21:12:20.000Z,,null
27,08b44a1129c2cfff0200e020e7aa8a15,"POLYGON ((-80.2122654 25.7664961, -80.212269 25.7666682, -80.2123662 25.7666666, -80.2123626 25.7664945, -80.2122654 25.7664961))",0,"[{""property"": """", ""dataset"": ""OpenStreetMap"", ""record_id"": ""w435883560@1"", ""update_time"": ""2016-08-05T22:19:25.000Z"", ""confidence"": null}]",,,,False,13.5,False,,,,,,,,,,,,,,OpenStreetMap,w435883560@1,2016-08-05T22:19:25.000Z,,null
28,08b44a1129c2cfff0200273d18f6720f,"POLYGON ((-80.2121295 25.7666911, -80.2122126 25.7666904, -80.2122107 25.7664875, -80.2121275 25.7664882, -80.2121295 25.7666911))",0,"[{""property"": """", ""dataset"": ""OpenStreetMap"", ""record_id"": ""w294615974@1"", ""update_time"": ""2014-07-27T04:16:21.000Z"", ""confidence"": null}]",,,,False,6.2,False,,,,,,,,,,,,,,OpenStreetMap,w294615974@1,2014-07-27T04:16:21.000Z,,null
29,08b44a1129c2cfff0200b4c72c76e88c,"POLYGON ((-80.2119661 25.7667463, -80.2120784 25.7667436, -80.2120681 25.766384, -80.2119558 25.7663866, -80.2119661 25.7667463))",0,"[{""property"": """", ""dataset"": ""OpenStreetMap"", ""record_id"": ""w294615794@1"", ""update_time"": ""2014-07-27T04:16:10.000Z"", ""confidence"": null}]",,,,False,7.2,False,,,,,,,,,,,,,,OpenStreetMap,w294615794@1,2014-07-27T04:16:10.000Z,,null
30,08b44a1129c28fff0200d544c6a86fb2,"POLYGON ((-80.2120121 25.7670961, -80.2120399 25.7670962, -80.21204 25.7670749, -80.2120688 25.767075, -80.2120693 25.7669347, -80.2119838 25.7669345, -80.2119833 25.7670824, -80.2120121 25.7670825, -80.2120121 25.7670961))",0,"[{""property"": """", ""dataset"": ""OpenStreetMap"", ""record_id"": ""w435729911@1"", ""update_time"": ""2016-08-05T01:03:14.000Z"", ""confidence"": null}]",,,,False,9.0,False,,,,,,,,,,,,,,OpenStreetMap,w435729911@1,2016-08-05T01:03:14.000Z,,null
31,08b44a1129c2efff0200036869c9afe0,"POLYGON ((-80.2115712 25.7665177, -80.211573 25.7665527, -80.2116279 25.7665504, -80.2116261 25.7665154, -80.2115712 25.7665177))",0,"[{""property"": """", ""dataset"": ""OpenStreetMap"", ""record_id"": ""w643496759@1"", ""update_time"": ""2018-11-12T19:24:17.000Z"", ""confidence"": null}]",,,,False,2.8,False,,,,,,,,,,,,,,OpenStreetMap,w643496759@1,2018-11-12T19:24:17.000Z,,null
32,08b44a1129c2efff02009d6a8d77d82f,"POLYGON ((-80.2118069 25.7664549, -80.2118093 25.7666359, -80.2119178 25.7666348, -80.2119154 25.7664537, -80.2118069 25.7664549))",0,"[{""property"": """", ""dataset"": ""OpenStreetMap"", ""record_id"": ""w435541543@1"", ""update_time"": ""2016-08-03T20:28:48.000Z"", ""confidence"": null}]",,,,False,10.6,False,,,,,,,,,,,,,,OpenStreetMap,w435541543@1,2016-08-03T20:28:48.000Z,,null
33,08b44a1129c2efff0200f99c83f13eba,"POLYGON ((-80.2116714 25.7667074, -80.2117729 25.766705, -80.2117668 25.7664898, -80.2116653 25.7664922, -80.2116714 25.7667074))",0,"[{""property"": """", ""dataset"": ""OpenStreetMap"", ""record_id"": ""w294616002@1"", ""update_time"": ""2014-07-27T04:16:23.000Z"", ""confidence"": null}]",,,,False,8.8,False,,,,,,,,,,,,,,OpenStreetMap,w294616002@1,2014-07-27T04:16:23.000Z,,null
34,08b44a1129c23fff020065760e1344d2,"POLYGON ((-80.2113676 25.7664051, -80.2113692 25.7664913, -80.2115664 25.7664884, -80.2115659 25.7664615, -80.2115994 25.766461, -80.2115984 25.7664016, -80.2113676 25.7664051))",0,"[{""property"": """", ""dataset"": ""OpenStreetMap"", ""record_id"": ""w435883942@1"", ""update_time"": ""2016-08-05T22:20:04.000Z"", ""confidence"": null}]",,,,False,8.2,False,,,,,,,,,,,,,,OpenStreetMap,w435883942@1,2016-08-05T22:20:04.000Z,,null
35,08b44a1129c05fff02008393e49db502,"POLYGON ((-80.2113877 25.7666659, -80.2113909 25.7667348, -80.2115755 25.7667278, -80.2115723 25.7666589, -80.2113877 25.7666659))",0,"[{""property"": """", ""dataset"": ""OpenStreetMap"", ""record_id"": ""w436125910@1"", ""update_time"": ""2016-08-07T15:20:56.000Z"", ""confidence"": null}]",,,,False,9.6,False,,,,,,,,,,,,,,OpenStreetMap,w436125910@1,2016-08-07T15:20:56.000Z,,null
36,08b44a1129c2afff0200a8ce5f40ebbb,"POLYGON ((-80.2114174 25.7669501, -80.2114178 25.7669657, -80.211393 25.7669661, -80.2113942 25.7670258, -80.2116121 25.7670222, -80.2116106 25.7669468, -80.2114174 25.7669501))",0,"[{""property"": """", ""dataset"": ""OpenStreetMap"", ""record_id"": ""w435520502@1"", ""update_time"": ""2016-08-03T18:52:52.000Z"", ""confidence"": null}]",,,,False,12.5,False,,,,,,,,,,,,,,OpenStreetMap,w435520502@1,2016-08-03T18:52:52.000Z,,null
37,08b44a1129c29fff0200b6fb16c2ee9e,"POLYGON ((-80.2122615 25.7672208, -80.2123655 25.767219, -80.2123595 25.7669489, -80.2122547 25.7669508, -80.2122562 25.7670185, -80.2121514 25.7670204, -80.2121546 25.7671671, -80.2122603 25.7671652, -80.2122615 25.7672208))",0,"[{""property"": """", ""dataset"": ""OpenStreetMap"", ""record_id"": ""w435540780@1"", ""update_time"": ""2016-08-03T20:27:44.000Z"", ""confidence"": null}]",,,,False,10.5,False,,,,,,,,,,,,,,OpenStreetMap,w435540780@1,2016-08-03T20:27:44.000Z,,null
38,08b44a1129c28fff0200d649ed0703ae,"POLYGON ((-80.2118894 25.7671857, -80.2119362 25.7671852, -80.211935 25.7670954, -80.2119099 25.7670957, -80.211909 25.7670322, -80.2119263 25.767032, -80.2119252 25.7669582, -80.211824 25.7669594, -80.2118272 25.7671808, -80.2118893 25.76718, -80.2118894 25.7671857))",0,"[{""property"": """", ""dataset"": ""OpenStreetMap"", ""record_id"": ""w435378027@1"", ""update_time"": ""2016-08-02T21:14:06.000Z"", ""confidence"": null}]",,,,False,10.1,False,,,,,,,,,,,,,,OpenStreetMap,w435378027@1,2016-08-02T21:14:06.000Z,,null
39,08b44a1129c2bfff0200a4b3f225b116,"POLYGON ((-80.2120018 25.7672867, -80.2121029 25.7672887, -80.2121048 25.7672092, -80.212025 25.7672076, -80.2120242 25.7672443, -80.2120028 25.7672439, -80.2120018 25.7672867))",0,"[{""property"": """", ""dataset"": ""OpenStreetMap"", ""record_id"": ""w436122715@1"", ""update_time"": ""2016-08-07T15:17:22.000Z"", ""confidence"": null}]",,,,False,13.8,False,,,,,,,,,,,,,,OpenStreetMap,w436122715@1,2016-08-07T15:17:22.000Z,,null
40,08b44a1129c29fff0200013fd090817d,"POLYGON ((-80.2123064 25.767481, -80.212288 25.7674813, -80.2122892 25.7675502, -80.2123933 25.7675487, -80.2123897 25.7673425, -80.2122876 25.767344, -80.212289 25.7674258, -80.2123055 25.7674256, -80.2123064 25.767481))",0,"[{""property"": """", ""dataset"": ""OpenStreetMap"", ""record_id"": ""w435579085@1"", ""update_time"": ""2016-08-04T01:12:48.000Z"", ""confidence"": null}]",,,,False,10.4,False,,,,,,,,,,,,,,OpenStreetMap,w435579085@1,2016-08-04T01:12:48.000Z,,null
41,08b44a1129c2bfff02008233755467fa,"POLYGON ((-80.2119734 25.7676626, -80.2120881 25.7676606, -80.2120813 25.7673432, -80.2118844 25.7673466, -80.211886 25.7674223, -80.2119683 25.7674209, -80.2119734 25.7676626))",0,"[{""property"": """", ""dataset"": ""OpenStreetMap"", ""record_id"": ""w294615916@1"", ""update_time"": ""2014-07-27T04:16:18.000Z"", ""confidence"": null}]",,,,False,7.7,False,,,,,,,,,,,,,,OpenStreetMap,w294615916@1,2014-07-27T04:16:18.000Z,,null
42,08b44a1129c76fff0200be9c7af62fc1,"POLYGON ((-80.2121861 25.7675251, -80.2121322 25.7675266, -80.2121371 25.7676649, -80.2122504 25.7676616, -80.2122493 25.767632, -80.2122742 25.7676312, -80.2122695 25.7675019, -80.212245 25.7675026, -80.2122444 25.7674854, -80.2121847 25.7674871, -80.2121861 25.7675251))",0,"[{""property"": """", ""dataset"": ""OpenStreetMap"", ""record_id"": ""w435532203@1"", ""update_time"": ""2016-08-03T19:49:07.000Z"", ""confidence"": null}]",,,,False,12.3,False,,,,,,,,,,,,,,OpenStreetMap,w435532203@1,2016-08-03T19:49:07.000Z,,null
43,08b44a1129c2afff02001337c51e51ee,"POLYGON ((-80.2116773 25.7672167, -80.2116573 25.7672169, -80.2116582 25.7672904, -80.2117777 25.7672892, -80.211777 25.7672361, -80.2117896 25.767236, -80.2117885 25.7671462, -80.2117711 25.7671463, -80.2117705 25.7670986, -80.2116574 25.7670998, -80.2116585 25.7671787, -80.2116768 25.7671785, -80.2116773 25.7672167))",0,"[{""property"": """", ""dataset"": ""OpenStreetMap"", ""record_id"": ""w435586081@1"", ""update_time"": ""2016-08-04T03:08:17.000Z"", ""confidence"": null}]",,,,False,11.0,False,,,,,,,,,,,,,,OpenStreetMap,w435586081@1,2016-08-04T03:08:17.000Z,,null
44,08b44a1129c2afff0200bd90c725edfa,"POLYGON ((-80.2116 25.7671857, -80.2116042 25.7672338, -80.2116477 25.7672307, -80.2116435 25.7671827, -80.2116 25.7671857))",0,"[{""property"": """", ""dataset"": ""OpenStreetMap"", ""record_id"": ""w435745460@1"", ""update_time"": ""2016-08-05T03:08:32.000Z"", ""confidence"": null}]",,,,False,7.1,False,,,,,,,,,,,,,,OpenStreetMap,w435745460@1,2016-08-05T03:08:32.000Z,,null
45,08b44a1129c2afff0200bdb9af83266f,"POLYGON ((-80.2113968 25.7671443, -80.2114208 25.7671445, -80.2114206 25.7671564, -80.2115572 25.7671577, -80.211558 25.7670862, -80.2115252 25.7670859, -80.2115254 25.76707, -80.2114823 25.7670695, -80.2114825 25.7670475, -80.2114369 25.767047, -80.2114366 25.7670725, -80.2114232 25.7670723, -80.211423 25.7670913, -80.2113975 25.767091, -80.2113968 25.7671443))",0,"[{""property"": """", ""dataset"": ""OpenStreetMap"", ""record_id"": ""w435532145@1"", ""update_time"": ""2016-08-03T19:49:01.000Z"", ""confidence"": null}]",,,,False,8.2,False,,,,,,,,,,,,,,OpenStreetMap,w435532145@1,2016-08-03T19:49:01.000Z,,null
46,08b44a1129c0cfff0200348128f1e10c,"POLYGON ((-80.2114019 25.7673161, -80.2115751 25.7673081, -80.2115726 25.7672648, -80.2115414 25.7672662, -80.2115397 25.7672365, -80.2113978 25.7672431, -80.2114019 25.7673161))",0,"[{""property"": """", ""dataset"": ""OpenStreetMap"", ""record_id"": ""w436040874@1"", ""update_time"": ""2016-08-07T02:12:24.000Z"", ""confidence"": null}]",,,,False,8.7,False,,,,,,,,,,,,,,OpenStreetMap,w436040874@1,2016-08-07T02:12:24.000Z,,null
47,08b44a1129c2bfff0200ee7da548cdb0,"POLYGON ((-80.2116896 25.7676403, -80.2117835 25.7676396, -80.2117815 25.7674321, -80.2116877 25.7674328, -80.2116896 25.7676403))",0,"[{""property"": """", ""dataset"": ""OpenStreetMap"", ""record_id"": ""w294617095@1"", ""update_time"": ""2014-07-27T05:06:56.000Z"", ""confidence"": null}]",,,,False,9.5,False,,,,,,,,,,,,,,OpenStreetMap,w294617095@1,2014-07-27T05:06:56.000Z,,null
48,08b44a1129c0cfff0200d883ac22f18e,"POLYGON ((-80.2115921 25.7674618, -80.2115952 25.7675139, -80.2116577 25.7675109, -80.2116546 25.7674587, -80.2115921 25.7674618))",0,"[{""property"": """", ""dataset"": ""OpenStreetMap"", ""record_id"": ""w435746781@1"", ""update_time"": ""2016-08-05T03:10:13.000Z"", ""confidence"": null}]",,,,False,7.1,False,,,,,,,,,,,,,,OpenStreetMap,w435746781@1,2016-08-05T03:10:13.000Z,,null
49,08b44a1129c0dfff02003ee8bf2dfde3,"POLYGON ((-80.2116061 25.7676478, -80.2116604 25.7676484, -80.211661 25.7676038, -80.2116066 25.7676032, -80.2116061 25.7676478))",0,"[{""property"": """", ""dataset"": ""OpenStreetMap"", ""record_id"": ""w435881119@1"", ""update_time"": ""2016-08-05T22:16:18.000Z"", ""confidence"": null}]",,,,False,7.1,False,,,,,,,,,,,,,,OpenStreetMap,w435881119@1,2016-08-05T22:16:18.000Z,,null
50,08b44a1129c0cfff02008e4af6976691,"POLYGON ((-80.2113977 25.7673647, -80.2113994 25.7674432, -80.2114854 25.7674417, -80.2114837 25.7673632, -80.2113977 25.7673647))",0,"[{""property"": """", ""dataset"": ""OpenStreetMap"", ""record_id"": ""w435728635@1"", ""update_time"": ""2016-08-05T01:01:50.000Z"", ""confidence"": null}]",,,,False,12.1,False,,,,,,,,,,,,,,OpenStreetMap,w435728635@1,2016-08-05T01:01:50.000Z,,null
51,08b44a1129c0cfff0200e331400499b9,"POLYGON ((-80.2114019 25.7675598, -80.2115779 25.7675607, -80.2115783 25.7674947, -80.2114375 25.7674939, -80.2114377 25.767468, -80.2114025 25.7674678, -80.2114019 25.7675598))",0,"[{""property"": """", ""dataset"": ""OpenStreetMap"", ""record_id"": ""w435531178@1"", ""update_time"": ""2016-08-03T19:47:27.000Z"", ""confidence"": null}]",,,,False,8.6,False,,,,,,,,,,,,,,OpenStreetMap,w435531178@1,2016-08-03T19:47:27.000Z,,null
52,08b44a1129c0cfff020026596d3635f9,"POLYGON ((-80.2114102 25.7676147, -80.2114133 25.7677182, -80.2115697 25.7677143, -80.2115666 25.7676108, -80.2114102 25.7676147))",0,"[{""property"": """", ""dataset"": ""OpenStreetMap"", ""record_id"": ""w435531443@1"", ""update_time"": ""2016-08-03T19:47:58.000Z"", ""confidence"": null}]",,,,False,8.4,False,,,,,,,,,,,,,,OpenStreetMap,w435531443@1,2016-08-03T19:47:58.000Z,,null
53,08b44a1129c70fff02006f2b019ff604,"POLYGON ((-80.2123384 25.7680479, -80.2124194 25.7680453, -80.212419 25.7678776, -80.2122869 25.7678793, -80.2122925 25.768022, -80.2123373 25.7680205, -80.2123384 25.7680479))",0,"[{""property"": """", ""dataset"": ""OpenStreetMap"", ""record_id"": ""w643496727@1"", ""update_time"": ""2018-11-12T19:24:13.000Z"", ""confidence"": null}]",,,,False,3.7,False,,,,,,,,,,,,,,OpenStreetMap,w643496727@1,2018-11-12T19:24:13.000Z,,null
54,08b44a1129c72fff020050675d0b1472,"POLYGON ((-80.2121864 25.7680388, -80.2122034 25.768038, -80.2122203 25.7680373, -80.2122191 25.7680147, -80.2122459 25.7680133, -80.212241 25.7679041, -80.2122054 25.7679046, -80.2122058 25.7679115, -80.2121383 25.7679137, -80.2121425 25.7680173, -80.2121852 25.7680154, -80.2121864 25.7680388))",0,"[{""property"": """", ""dataset"": ""OpenStreetMap"", ""record_id"": ""w643496730@1"", ""update_time"": ""2018-11-12T19:24:14.000Z"", ""confidence"": null}]",,,,False,4.8,False,,,,,,,,,,,,,,OpenStreetMap,w643496730@1,2018-11-12T19:24:14.000Z,,null
